localization_key,English_reference,English_display
dial_hutnik_gr_a_ted_uz_p_FwjN,Now get out of here before the guards see you!,Now get out of here before the guards spot ye!
dial_hutnik_gr_co_jsem_sl_ugFZ,"From what I've heard from other smelters, it's a lot worse elsewhere.","From what I've heard from the other smelters, it's a lot worse elsewhere, like."
dial_hutnik_gr_dobre_dobr_5uSi,"Alright… alright. Now go, you've got no business being here.","Not too shabby, not too shabby. Now go, ye've got no business here!"
dial_hutnik_gr_esli_to_mu_Eity,"If you must know, that's where we crush the ore, and these furnaces are where we smelt the silver.","If ye must know, that's where we scrush the ore, and these furnaces are where we smelt the silver."
dial_hutnik_gr_heled_synk_5Hej,"Look, son, I don't want anything to do with this. Have a chat with Shima over there. He's not afraid of anything.","Look, sonny, I don't want anything to do with this. Have a chat with Shima over there. He's not afraid of anything."
dial_hutnik_gr_i_kdyz_tav_6Erz,"Although… The smelter foreman Volkmar recently bought some stables here in Grund. Entire stables, you see?!","Although… The smelter foreman Volkmar recently bought some stables here in Grund. The whole stables, see?!"
dial_hutnik_gr_ja_ja_vo_n_ygqF,I… I don't know anything! Seriously!,I… I don't know anything! Honest!
dial_hutnik_gr_ja_si_vube_eIkY,"I can't complain at all, sir. We get some nice chink from the yield and we're dry and warm…","Aye, cannae complain at all, Sir. We get a nice pile of chink from the yield and we're dry and warm."
dial_hutnik_gr_jako_smelc_ww2h,"You mean smelting? Well… in the stamp mill we crush the ore brought from the mines, and then we put it in the furnace.",You mean smelting? Well… in the scrusher we scrush the ore brought from the Mound and chuck it in the furney.
dial_hutnik_gr_je_to_vybo_FQ6T,He's a great chap. Honest.,He's a good bloke. Honest.
dial_hutnik_gr_najdi_si_t_SHiD,"If you want to chat about these things, go and find Shima, nothing gets past him. Leave me alone!","If you want to chat about these things, go and find Shima, nothing gets past him. And leave me alone!"
dial_hutnik_gr_nemuzu_si__X5If,"I can't complain about him, sir. He's an honest owner and he pays us well.","I cannae complain about him, Sir. He's an honest bloke and he pays us well."
dial_hutnik_gr_nestezuju__Dhda,"I'm not complaining. Now get going, or the guards will catch you and give you a beating!","I cannae complain. Now get gan, or the guards will catch sight of ye and give ye a whipping!"
dial_hutnik_gr_niceho_vub_jqxd,"Nothing, nothing at all. I've been working all day, I'm busy as a bee.","Nothing, nothing at all. I graft all day, no time for looking around."
dial_hutnik_gr_no_co_smel_g0Aq,What do you think? We smelt silver from crushed ore. In those furnaces over there.,What do ye think? We smelt silver from scrushed ore. In them furnaces over there.
dial_hutnik_gr_pak_do_ni__XYbx,Then we put coal in there until the stone gets proper hot and leaks all the metal that was inside.,Then we shovel charcoal in till the stone gets proper roasting and leaks all the metal that was hidden inside.
dial_hutnik_gr_promluv_si_sb7P,"Maybe, you could talk to Shima. He might know something. Leave me alone!","Maybe, you could talk to Shima. He might know something. And leave me alone!"
dial_hutnik_gr_sakra_synk_5udM,"Damn it, sonny, you can't be in here. Master Buresh will be pissed.","Bloody hell, kiddar, ye can't be in here! Master Buresh will be scunnered!"
dial_hutnik_gr_spis_se_pt_TAs7,"Ask Volkmar instead! He's the foreman of the smelters and he bought stables here in Grund. Entire stables, you see?!","Ask Volkmar instead! He's the foreman of the smelters and he bought stables here in Grund. The whole stables, see?!"
dial_hutnik_gr_tady_v_nas_EMBQ,Here? In this smelter?,Here? In our smelter?
dial_hutnik_gr_to_by_v_to_f3Zg,That would mean somebody in our midst is involved and… you get the rope for that!,That would mean some of our lads are involved and… you get the rope for that!
dial_hutnik_gr_to_nekolik_frWi,We do that several times in other furnaces until we get pure silver from the ore.,We do that over and over in other furneys till we get pure silver out of the ore.
dial_hutnik_gr_to_vo_tom__2XA8,That… I don't know anything about that! I swear!,I… I don't know anything about that! I swear!
dial_hutnik_gr_vdova_vod__1mO5,"Pirkner's widow was short on money after her man popped his clogs, so she had to sell. But still… where did he get the money?","Pirkner's widow was short on money after her man kicked the bucket, so she had to sell. But still… where did he get the money?"
dial_hutnik_gr_vo_mrtvejc_qLue,"Let's not speak ill of the dead. Now let me work, I've got a family to feed!","Let's not speak ill of the dead, eh? Now let us work, I've got a family to feed!"
dial_hutnik_si_a_ja_se_s__9gM8,"I don't have to talk to you, either.",And I don't have to tell you anything.
dial_hutnik_si_akorat_ze__XMkM,Bullshit! It's an awful fucking job for a rotten few fucking groschen.,Horseshit! It's an awful filthy fucking graft for a few miserable groschen.
dial_hutnik_si_ale_voni_j_az5z,I reckon these people are all the same. They only care about how much they make.,I reckon these folks are all the same - all they care about is lining their purses.
dial_hutnik_si_co_ses_zac_NJtk,"Who are you, man?","Who are you, fellah?"
dial_hutnik_si_co_uvidim__wFKD,Else what?,Or else what?
dial_hutnik_si_ja_vedel_z_xbzY,"I knew we could make a deal. Listen up, then.","I knew we'd make a deal. Listen up, then."
dial_hutnik_si_jde_vo_vok_9Ecd,"It's Volkmar. He's the head smelter, he has worked with us for years.","It's Volkmar. He's the head smelter, he's worked with us for years."
dial_hutnik_si_je_to_hodn_fxGG,"It's all very suspicious, because he's the one with the best access to the finished silver bars…","It's all very suspicious, because he's the one with the best access to the finished silver bars."
dial_hutnik_si_jenom_nas__cRCp,"He was just milking us. We were drowning in ore, and he would keep bringing more. But paying us more? No way in hell.","All he did was milk us dry. We was drowning in ore, but he kept bringing in more. But paying us more? No chance of that."
dial_hutnik_si_jeste_bych_Zp7C,I could say something I would damn regret.,I could say something I'd sorely fucking regret.
dial_hutnik_si_kdybych_mo_veH3,"If I could, I'd fuck off somewhere over the hills. But I have a family, and they don't ask about what I want.","If I could, I'd fuck off somewhere over the hills. But I have a family, and they don't ask me what I really want."
dial_hutnik_si_ma_k_nemu__g1Sg,"Only the owner of the smelter and a select group of people have access to them, such as the foreman of the smelters, who checks the purity.","Only the owner of the smelter and a handful of select people have access to them, such as the foreman of the works, who checks the purity."
dial_hutnik_si_ne_prosim__kgp5,"No, please… don't do that. I'll tell you everything I know…","No, please… don't do that! I'll tell you everything I know…"
dial_hutnik_si_no_a_nedav_aGsx,"Recently, he bought stables here in Grund out of the blue. Entire stables, you see?! Where do you think he got the money?","Recently, he bought stables here in Grund out of the blue. The entire stables! Where do you think he got the money?"
dial_hutnik_si_no_jak_to__PWcf,Um… what do you mean?,Er… what do you mean?
dial_hutnik_si_no_pane_de_9zma,"Well, sir… thank you. I will tell you how it is, then.","Well, Sir… thank you. I'll tell you how it is, then."
dial_hutnik_si_no_poslouc_0hQx,Well… Listen… people like him only care about how much they make. We're breaking our backs? They don't care.,Listen… All folks like him care about is lining their purses. They don't care if we break our backs because of it.
dial_hutnik_si_no_to_vazn_aKhT,"Aye, we really don't. Idiot.","No, we really don't. Idiot!"
dial_hutnik_si_od_dolu_do_eu9J,From the mines you say… Is it possible that Master Buresh does not trust his own people?,From the mines you say… Is it possible Master Buresh doesn't trust his own people?
dial_hutnik_si_pod_nasima_7AM3,"Here in the smelter, the extracted ore turns into pure silver right under our hands. It's a miracle, isn't it?","Here in the smelter, the extracted ore turns into pure silver right under our hands. A bloody miracle, right?"
dial_hutnik_si_popravde_b_VxCu,"Honestly? He was a right proper bastard. I know you're not supposed to speak ill of the dead, but…","Honestly? He was a proper bastard. I know you're not supposed to speak ill of the dead, but…"
dial_hutnik_si_pruty_jsou_fBzq,The bars are kept under lock and key in a safe place until a merchant or people from the mint come and get them.,The bars are kept under lock and key in a safe place until a merchant or the blokes from the mint come and get them.
dial_hutnik_si_sam_prece__IgGX,He knows best that no silver can go missing here. That everything is well guarded…,He knows better than anyone no silver can go missing here and everything's well guarded.
dial_hutnik_si_stoji_to_z_jnNz,It sucks arse. My back hurts something awful from shovelling heaps of ore back and forth.,It a shitty fucking job. My back aches something awful from shovelling heaps of ore back and forth.
dial_hutnik_si_tak_ja_si__Yx1F,"I'll go do my own thing, then.",I'll be getting on with my work then.
dial_hutnik_si_tak_proc_b_HXkn,"Why should I talk to you, anyway?","Why should I talk to you, then?"
dial_hutnik_si_to_asi_muz_Q1BH,I suppose we can. But I don't feel like it right now.,I suppose we could. But I don't feel like it right now.
dial_hutnik_si_tohle_se_m_GPKh,This really isn't worth it.,This really isn't worth it to me.
dial_hynek_suc__ale_uz_me_loit,…but I'm itching to fire it!,…but I'm itching to fire that fucking contraption!
dial_hynek_suc__to_se_uz__1UnJ,we'll never know now.,… we'll never know now.
dial_hynek_suc_bergova_mu_l5VO,We have to catch von Bergow through trickery then quietly lock him up.,"We have to lure von Bergow into a trap, then quietly grab him."
dial_hynek_suc_jo_mit_tak_e9IH,"Aye, if we had one of those fat beauties with us at Znaim***, that would've been something!","Aye, if we'd had one of them fat beauties with us at Znojmo, that would've been something!"
dial_hynek_suc_kdyby_se_t_cXrd,If our ruse doesn't go according to plan…,In case our ruse doesn't go according to plan…
dial_hynek_suc_pche_snad__PoNs,"That's what I've been saying. Anyway, do you think I'd miss out on the chance to chop up Otto's arse?","That's what I just said. Anyway, do you think I'd miss out on the chance to hack a chunk off Otto's arse?"
dial_hynek_suc_rozehnal_n_JJyC,"He chased us off like rabbits, the bastard!","He chased us off like rabbits, the fucker!"
dial_hynek_suc_tyhle_veci_Qvaq,These toys that use gunpowder pretty much even the odds. But they're as expensive as a whore with a clean bill of health.,These toys that use gunpowder pretty much even the odds. But they cost as much as a virgin whore.
dial_hynek_suc_ze_zajatyc_49mt,It wasn't any of the captured lords and if any of their men talked...,It wasn't any of the captured lords and if any of their men talked…
dial_jan_balsa_co_ty_tady_uKdS,What? You still have the nerve to make a fool of me?,What? You still have the nerve to make fun of me?
dial_jan_balsa_zkus_se_ta_F1fl,"Try to look around here a little, if you find something, come back to me.","Try looking around here a bit, if you find something, come back to me."
dial_jan_zizka_a_jestli_t_0qQM,"And if the Devil and his people managed to rack up some debts, it could get a hell of a lot more complicated.","And if the Devil and his band have racked up some debts, it could get a hell of a lot more complicated."
dial_jan_zizka_a_mezitim__xlUL,"And in the meantime, perhaps Katherine will find young Liechtenstein's hiding place.","In the meantime, hopefully, Katherine will find out where young Liechtenstein is hiding."
dial_jan_zizka_aspon_mi_m_FAxM,On the way you can tell me your long story from the camp!,"On the way, you can tell me your long story from the camp!"
dial_jan_zizka_co_jsou_to_EgyU,"Let's get to work, then!","To the task, then!"
dial_jan_zizka_hele_co_to_l4VU,"By the way, who's that man over there? The one who fought on our side.","By the way, who's that fellah over there? The one who fought on our side."
dial_jan_zizka_jestli_byc_evNt,"If I was looking for the Devil, or at least someone who knows something about him, that's where I'd start.","If I was looking for the Devil, or at least someone who knows something about him, that's where I'd go."
dial_jan_zizka_koukam_ze__f8lh,"In that case, he'd be better off staying in prison…","In that case, he'd be better off staying in captivity."
dial_jan_zizka_mozna_5GMB,If it comes to that…,If it comes to that.
dial_jan_zizka_mozna_by_s_8EtG,"So go and fucking ask him, will you? Now that he knows about us he could pose a threat.","So go and fucking ask him, would you? Now that he knows about us, he could pose a threat."
dial_jan_zizka_mrtvy_ruko_HaO9,Why wouldn't he be? He's the Lord of Pirkstein! He's no use to them dead.,Why wouldn't he be? He's the Lord of Pirkstein! He's of no use to them dead.
dial_jan_zizka_pojedem_tu_5bpo,"Keep close. The Devil doesn't know you, but he should recognise me even like this…","Stay close. The Devil doesn't know you, but he should recognise me even like this."
dial_jan_zizka_tak_ale_ry_1UWM,"Make it fast, though. Before someone comes to see what all the noise was…","Make it fast, though. Before someone comes to see what all the noise was."
dial_jan_zizka_tak_se_rik_mJXf,That's what they call his gang. They're exactly the sort of men we need.,That's what his band is called. They're exactly the sort of men we need.
dial_jan_zizka_tolik_zaba_5mcO,"Don't get your hopes up. We'll have a beer, listen to the local rumour mill, and if we don't find anything, we'll pay and move on.","Don't get your hopes up. We'll have a beer, listen to the local rumour mill, and if we don't find anything, we'll pay up and move on."
dial_jan_zizka_zapit_ze_p_Nu2O,"You want a drink to celebrate that we're still alive, huh? Alright, then.","You want to have a drink to celebrate that we're still alive, eh? Alright, then."
dial_jasak_amit_mondott_xJTB,!P Amit mondott?,Mit mondott?
dial_jasak_od_lazne_kdyz__BwNz,Tent you find left of bathhouse and up. Tent is round.,"You go left and up from bath, you find tent! Round it is."
dial_jasak_szereted_HN0O,!P Szereted?,Szereted?
dial_jasak_tady_kazda_div_8ufg,"Everybody strange, camp is shit, men is nervous… But maybe…","Everybody here strange. Camp is shit, men is nervous. But maybe…"
dial_jasak_tak_zkusila_st_jzIL,Yes. Try search tent. Hiding something for sure.,Yes. Try search his tent. He hide something for sure.
dial_jenik_dol_da_se_to_t_IfaR,"You could say that... God knows why, but King Sigismund decided to pack up his army and move out...","You could say that... God knows why, but King Sigismund decided to pack up his army and move on."
dial_jenik_dol_no_tak_nej_GxHj,"Yeah, well, if you put it that way...","Yeah, well, if you put it that way."
dial_jenik_dol_presne_ten_HpX8,The very same! So thanks for finishing off Andrew and his band...,The very same! So thanks for finishing off Andrew and his band.
dial_jenik_dol_takze_ondr_0LwF,"So Andrew got his marching orders... And, saints be praised, he showed me mercy and let me go...","So Andrew got his marching orders... And, saints be praised, he showed me mercy and let me go."
dial_jeronym_n_aby_se_tad_7PGC,So that this swillpot here doesn't piss himself.,So this swillpot here doesn't have a fit.
dial_jeronym_n_ale_zadny__w4pC,But no mucking around. Finish your drink and back to the kitchen!,But no mucking around. Finish your drink and get back to the kitchen!
dial_jeronym_n_bez_si_nec_kpcl,Oh... well. Pour yourself a cup. You did well.,Oh... alright. Go and pour yourself a cup. You did well.
dial_jeronym_n_boze_to_je_tcI2,"My God, such a pig. I think he'll throw up in here.","My God, such a pig! I think he'll throw up in here."
dial_jeronym_n_bude_mi_ct_Stsg,I'll be honoured.,"I'll be honoured, Sir."
dial_jeronym_n_chm_dost_z_bi2h,Hmh. What a strange answer...,"Hmm, what a peculiar answer."
dial_jeronym_n_chm_dost_z_cNnU,Hmh. What a strange answer...,Hmh. What a peculiar answer.
dial_jeronym_n_chtel_by_t_B5lo,He'd like to write down all the recipes in a book...,He'd like to write down all the recipes in a book.
dial_jeronym_n_chvali_te_8F3E,He's complimenting you. He says the Pope himself would appreciate your cooking.,It's a compliment. He says the Pope himself would appreciate your cooking.
dial_jeronym_n_dale_tu_js_YQTF,"There are further Masters Andrew Polner, Franz Rosenthal and Vaclav Vorsucher. They are the most important patricians in Kuttenberg.","Also here are the gentlemen Andrew Polner, Franz Rosenthal and Wenceslas Vorsucher. They are the most important patricians in Kuttenberg."
dial_jeronym_n_drz_se_emi_0IWu,"Hold on, your Eminence.","Hail, Your Eminence."
dial_jeronym_n_ehm_no_nic_N8A8,Uhm... Oh well.,Ehem… Don't worry.
dial_jeronym_n_fando_dojd_eSgk,Fanda! Go and get two more chaps.,Fanda! Go and get two more men!
dial_jeronym_n_fando_vem__yLcg,"Franta! You and Wenzel here, get out of here!",Fanda! Take Wenzel and get out of here!
dial_jeronym_n_hm_to_mas__C0dL,Hm... you're right about that.,Hmm... you're right about that.
dial_jeronym_n_jisteze_ne_l7Xk,Where are the servers?,Of course not. I’m sorry.
dial_jeronym_n_kdo_ji_str_03OS,He who's temperate in his food... is his own physician?,He who is temperate in his food... is his own physician?
dial_jeronym_n_kdo_ji_str_UYlD,He who's temperate in his food... is his own physician?,He who is temperate in his food... is his own physician?
dial_jeronym_n_kus_a_maze_2NEn,Shut up and scurry back to the kitchen.,"Quiet, back to your place!"
dial_jeronym_n_mas_hadat_qTRa,You're supposed to figure it out.,You're supposed to guess.
dial_jeronym_n_mas_hadat_uSKo,You're supposed to figure it out.,You're to guess.
dial_jeronym_n_mel_bys_ne_X5PW,You should eat something greasy. It'd be good for your stomach.,You should eat something fatty. It'd be good for your stomach.
dial_jeronym_n_mildo_skoc_7ipJ,Milda! Find Peppa and tell him to send someone to get more wine. Take a barrow and bring me three barrels!,Milda! Find Josef and tell him to send someone to get more wine. Take a barrow and bring me three kegs!
dial_jeronym_n_mildo_skoc_Vdya,Milda! Find Peppa and tell him to send someone to my cellar.,Milda! Find Josef and tell him to send someone to my cellar.
dial_jeronym_n_naletel_si_gxc9,You fell for it like a half-wit.,You fell for it like the village idiot.
dial_jeronym_n_ne_pochval_mlKJ,No. He praised the roast.,Nothing you need to know!
dial_jeronym_n_nejspis_ma_BH5l,I think... he wants you to take a guess.,I think... he wants you to guess.
dial_jeronym_n_nic_samozr_UJmT,Nothing. As you wish I'll have him brought here right away.,"Nothing. As you wish, I'll have him brought here right away."
dial_jeronym_n_no_nic_bez_Ugpm,"No, you idiot! But go and pour yourself a cup. You did really good today.","No, you idiot! But go and pour yourself a cup. You did really well today."
dial_jeronym_n_no_tak_nic_9Jdq,Oh never mind then. I think he was just being polite. That pigswill of yours is probably worthless.,Oh never mind then. I think he was just being polite. That slop of yours no doubt tastes like pigswill.
dial_jeronym_n_od_vejce_a_Jqt0,From the egg to the apple... It's a saying. It means he liked it all.,From the egg to the apple. It's a saying. It means he liked it all.
dial_jeronym_n_od_vejce_a_yd2d,From the egg to the apple... It's a saying. It seems he liked everything.,From the egg to the apple. It's a saying. It seems he liked everything.
dial_jeronym_n_pane_boze_BvJM,Dear Lord.,Good God!
dial_jeronym_n_pitomec_NEwM,Halfwit.,Blockhead!
dial_jeronym_n_pockej_poc_tIy7,"Wait, stop. I can't translate all this.","Wait, stop! I can't translate all this."
dial_jeronym_n_staci_ti_v_DeXh,All you need to know is that he liked your roast.,All you need to know is he liked your roast.
dial_jeronym_n_staci_ti_v_dorH,All you need to know is that he liked your roast.,All you need to know is he liked your roast.
dial_jeronym_n_tak_vidis_A7Fc,So you did.,See then!
dial_jeronym_n_ten_chlap__tpRa,This man is totally wasted. Something is strange here...,This man is totally wasted. Something's not right here.
dial_jeronym_n_tondo_dojd_VgbI,Tonda! Go and bring the cook in here!,Tonda! Go and bring the cook here!
dial_jeronym_n_ty_ses_ale_zaZl,You're stupid as an ox.,You're as stupid as an ox.
dial_jeronym_n_tys_jim_na_myKl,"You fell for it, dimwit.","You took the bait, numbskull!"
dial_jeronym_n_uklon_se_m_pr9Q,"Bow, you nitwit!",Bow to him!
dial_jeronym_n_uklon_se_s_FOTy,"Bow, you cretin.","Bow, damn it!"
dial_jeronym_n_uklon_se_t_bo1y,"Take a bow, you oaf!","Make a bow, you oaf!"
dial_jeronym_n_vemte_tak__b4tC,Bring two or three barrels! And be quick about it!,Bring two or three kegs! And be quick about it!
dial_jeronym_n_zatracenej_XLAf,Damn that Franta Kuldaun.,Damn that Franta Kuldaun!
dial_jeronym_n_zda_se_ze__nHXt,It seems he's asking about a recipe.,He seems to be asking about a recipe.
dial_jura_vost_byl_jsi_le_IhB0,"Damn, mate, are you a huntsman by any chance? Or a poacher?","Damn it, fellah, are you a huntsman by any chance? Or a poacher?"
dial_jura_vost_pokazil_si_6iI2,"Well, it warn’t bad, but you’ve got room for improvement. The coin is mine.","Well, it wasn’t bad, but you’ve got room for improvement. The coin is mine."
dial_jura_vost_pokazil_si_CXpG,"Well, it wasn’t bad, but it looks like I’ll be keeping these brushes a bit longer.","Well, it wasn’t bad, but it looks like I’ll be keeping these here brushes a bit longer."
dial_jura_vost_tak_tady_m_ybYM,"But I admit, it was a fine win. Here you go, the brushes are yours.","But I admit it was a fine win. Here you go, the brushes are yours."
dial_jura_vost_zases_proh_oCsk,"Another miss? You ain't much of a shot, mate.","Fuck all again? You ain't much of a shot, mate."
dial_kafka_aah_jo_a_co_ja_jEzH,Oh really? You think you sorted everything?,Oh really? You think you sorted everything out?
dial_kafka_je_to_tak_ty_s_5GfI,What do you mean? You left me to it and they robbed me blind!,What do you mean? You left me alone and they robbed me blind!
dial_kafka_je_to_takova_v_Ftng,It’s this lonely rock out in the woods southwest of the Barborský quarry.,It’s this lonely rock out in the woods southwest of the St. Barbara quarry.
dial_kafka_jenze_ja_to_ch_ITsl,"Ah, hell... It wasn’t meant to end like this. I just wanted my workshop, to do honest work, be a decent man...","Ah, hell... It wasn’t meant to end like this. I just wanted my workshop, to do my craft, be a decent man..."
dial_kafka_jenze_nekdo_vy_GRtS,But someone tipped them off where we’d hand it over! The bailiff grabbed him right after we said our farewells.,But someone tipped them off where we’d hand it over! The bailiff grabbed him right after we parted ways.
dial_kafka_jo_je_to_zbehl_6Di3,"Aye, he ran off from some monastery, so he knows how and likes to show off! But he’s a bastard—he knows full well I can’t read.","Aye, he ran off from some monastery, so he knows how and likes to show off! But he’s a bastard - he knows full well I can’t read."
dial_kafka_musel_je_shrab_cRfc,"The bailiff Plümel must’ve taken it, I can’t see any other explanation.","The bailiff Plumel must’ve taken it, I can’t see any other explanation."
dial_kafka_nejsem_si_jist_JCMN,"I’m not sure, but I reckon they’re camped somewhere in the woods southeast of the Prítoky inn.","I’m not sure, but I reckon they’re camped somewhere in the woods southeast of the Pschitoky inn."
dial_kafka_podle_me_se_mu_Ljxm,I reckon my brother’s death suited him just fine—gave him the chance to pin it all on me.,I reckon my brother’s death suited him just fine - gave him the chance to pin it all on me.
dial_kafka_prebral_vedeni_wOCy,He took over the gang after they caught my brother. But he’d already filled it with every scumbag he could find.,He took over the gang after they caught my brother. But he’d already filled it with every trash he could find.
dial_kafka_slo_to_dobre_z_JWP6,"Aye. It was all going well, and before long I could’ve returned the money.","Aye. It was all going well, and before long I could’ve returned the coin."
dial_kafka_tak_brada_pris_JALL,"So Brada—my brother—he came up with this idea to “help ourselves” to what we needed. But I swear, we never killed anyone!","So Brada - my brother - he came up with this idea to “help ourselves” to what we needed. But I swear, we never killed anyone!"
dial_kafka_tak_uz_abys_se_iQUk,"Pff... if that’s all, you’d best be on your way. No one bloody asked you for advice, so sod off!","Pff... if that’s all, you’d best be on your way. No one fucking asked you for advice, so sod off!"
dial_kafka_ten_chlap_se_n_Lotv,"Koniash’ll have you killed the moment he realises you’re setting him up! That bastard’s afraid of nothing, not even God. He’s a bloody devil!","Koniash will have you killed the moment he realises you’re setting him up! That bastard’s afraid of nothing, not even God. He’s a fucking devil!"
dial_kafka_to_ja_taky_ne__77CX,"Me neither. They’re bastards, won’t ever leave me in peace!","Me neither. They’re bastards, they won’t never leave me in peace!"
dial_kafka_tusim_ze_nekde_rWys,I reckon somewhere in the woods below the Prítoky inn... But what’re you planning to do?,I reckon somewhere in the woods below the Pschitoky inn... But what’re you planning to do?
dial_kafka_zacinali_sme_j_bGnS,"Me and my brother started out with a few poor fellows, but it didn’t bring in much.","Me and my brother started out together with a few poor fellows, but it didn’t bring in much."
dial_karel_zva__teda_poku_JInk,… unless it's absolutely necessary.,… unless it's really necessary of course.
dial_karel_zva_a_pak_tret_iTJF,On the third day a woke up and knew everything was different. That I was a changed man.,"On the third day I woke up, just like Jesus, and I knew everything was different. That I was a changed man."
dial_karel_zva_a_taky_nik_jorv,And we never kill…,And we never kill nobody…
dial_karel_zva_a_ted_uz_z_A6YP,But now you should get going. The fellahs get nervous when there are strangers around.,But now you should get going. The fellahs get nervous when there's strangers around.
dial_karel_zva_ale_asi_ma_wqRa,But I guess you're right. We're bandits. Sometimes it really pisses me off.,But I suppose you're right. We're bandits. And sometimes it really fucks me off.
dial_karel_zva_ale_co_vsi_PpoY,"But regardless, we all had some good fun. But the morning after wasn't.","But regardless, we all had some good fun. Though the morning after wasn't too good."
dial_karel_zva_ale_neboj__EBMA,"But don't worry, we're almost there now.","And don't worry, we're almost there now."
dial_karel_zva_clovek_muz_qw2p,"You can be undefeatable and blessed by God all you want, but two sacks of charcoal are two sacks of charcoal.","A man can be invincible and blessed by God, but two sacks of charcoal is still two sacks of charcoal."
dial_karel_zva_diky_za_po_MXQe,"Thanks for the help, lad. I'm glad you walked by and stopped to check on me.","Thanks for the help, lad. I'm glad you happened by and stopped to talk to me."
dial_karel_zva_ha_lapka_t_nHgx,Ha! A bandit! It sounds awful when you say it out loud… Bandit…,Ha! A bandit! It don't sound too good when you say it out loud… Bandit…
dial_karel_zva_hned_za_sv_2Vzw,"Right at the crack of dawn, I had to go take a shit.","Right at the crack of dawn, I had to go and have a shit."
dial_karel_zva_jasne_vsak_QiI4,Right… I used to live and ordinary life myself. Before it all got to me.,Right… I used to live an ordinary life myself. Before it all got to me.
dial_karel_zva_jasne_ze_j_xSsb,"Of course there are. And with what's been going on, there's more and more of us.","Of course there is. And with what's been going on, there's more and more of us."
dial_karel_zva_kazdou_chv_Pi5W,"Towns get raided all the time, and folks have nowhere else to go.","Towns get raided all the time, and folk have nowhere to go."
dial_karel_zva_kdyz_me_te_kgKU,"When I got hit with the arrow, I was out of it for three days.","When I got hit with this here arrow, I was out of it for three days."
dial_karel_zva_my_se_snaz_VOwt,"We're just trying to survive, that's all.","We're just trying to survive, is all."
dial_karel_zva_pak_prisli_eqrz,"Then the soldiers came, I don't know if they were ours or someone else's, but they took everything. And whatever they didn't take, they burned. I had nothing left.","Then the soldiers came, I don't know if they were ours or someone else's, but they took everything. And whatever they didn't take, they torched. I had nothing left."
dial_karel_zva_pan_s_tebou_FdNH,May the Lord be with you!,The Lord be with you!
dial_karel_zva_rikal_ze_j_VVz7,"He said it was communion wine, but who knows wherere he got it, because it was damned strong.","He said it was communion wine, but who knows where he got it, 'cause it was damned strong."
dial_karel_zva_sebral_pra_KX5A,"He took the money, but he didn't help. So my love died.","He took the money, but he didn't help. So my dearest died."
dial_karel_zva_tak_sem_za_wyYr,"So I head into the bushes… But that woke Pecha up. He was still so drunk, he thought he heard a boar…","So I head into the bushes… But that woke Pasha up. He was still so drunk, he thought he heard a boar…"
dial_karel_zva_tak_zijem__t5EV,"So now we live in the forest, like animals. We don't have any other option.","So now we live in the forest, like animals. We don't have no other option."
dial_karel_zva_takhle_se__qOzP,Not even the worst… bandit… behaves like that.,"Not even the worst ""bandit"" behaves like that."
dial_karel_zva_tenkrat_me_uwr1,The arrow could've killed me then. But it didn't. He knows very well that I have no choice.,The arrow could've killed me then. But it didn't. He knows very well I've got no choice.
dial_karel_zva_tim_sipem__Bsyo,With this arrow he sent us a bit of his grace. And our lives are just a little bit better because of it.,With this arrow he sent us a bit of His grace. And our lives are just a little bit better because of it.
dial_karel_zva_to_je_jedn_JWaG,"That's easy, I just know!",The answer's easy. I just know!
dial_karel_zva_to_je_ruzn_epKn,"That depends. Sometimes it's better, sometimes a lot worse.","That depends. Sometimes it's alright, other times it's brutal."
dial_karel_zva_to_panstvo_U4fq,"The lords who hold their ""protective"" hand over us!","Them lords what hold their ""protective"" hand over us!"
dial_karel_zva_ty_pytle_j_7wVx,"These sacks are damned heavy, but I couldn't just leave them behind.","Them sacks are heavy as fuck, but I couldn't just leave them behind."
dial_karel_zva_ver_cemu_c_HELM,"Believe what you want, lad. As long as you carry the sack. We're nearly there.","Believe what you want, lad. As long as you keep carrying that sack. We're nearly there."
dial_karel_zva_za_tohle_b_LRK6,That's what people should me whipped for in the stocks! Not for hunting a deer in the royal forest or taking something here and there!,That's what people should be whipped for in the stocks! Not for hunting a deer in some noble's forest or picking something up here and there!
dial_karel_zva_zajic_jedn_U1nQ,"One of the men, Hare, brought a barrel.","One of the men, Hare, brought a keg."
dial_karel_zva_zerou_si_d_WtYr,"They stuff themselves to bursting, hunt in the forests, go off to fight their wars, and the ordinary folk do all the work for them.","They stuff themselves to bursting, hunt in the forests, start wars, and the ordinary folk has to do all the work for them."
dial_karel_zva_zjevil_se__XM6n,"I had a vision of… someone. He had this glow around him, he must've been a Saint. He spoke to me… so kindly.","I had a vision of… someone. He had this glow around him, he must've been a Saint. He spoke to me… real kind like."
dial_katerina1_ale_od_jis_JO1p,"And for some time now we've been getting into more and more insane enterprises! But go, if you must… and try not to die there, damn it!","And for some time now we've been getting into wilder and wilder enterprises! But go, if you ""must"". And try not to die there, damn it!"
dial_katerina__ale_zkus_p_9y46,"Nothing's changed, except with every passing day you're risking more and more… Just… just try not to get killed, Henry.","Nothing's changed. Except that with every passing day you're risking more and more. Just… just try not to get killed, Henry."
