localization_key,classification,detected_language,detected_languages,language_status,foreign_score,english_signal_count,matched_foreign_signals,strong_foreign_signals,weak_foreign_signals,shared_foreign_signals,suppressed_name_signals,language_evidence,English_reference,English_display,review_bucket,priority,reference_differs,review_decision,verified_foreign_span,verified_meaning,review_notes
vyhe_dlc2_stre_bis_bald_m_JCkF,likely_full_foreign,german,german,single,9,0,mein; Freund; Gott; dich,mein; Freund; Gott; dich,,,,"german=9[mein, Freund, Gott, dich]","Bis bald, mein Freund! Gott segne dich.","Bis bald, mein Freund! Gott segne dich.",full_foreign_translation,highest,no,,,,display is likely fully foreign
zena_hospodska_ja_warum_n_lNay,likely_full_foreign,german,german,single,9,0,Ja; warum; nicht,warum; nicht,Ja,,,"german=9[Ja, warum, nicht]","!P Ja, warum nicht?","Ja, warum nicht?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
comb_hans_plum_das_ist_ni_fmpS,likely_full_foreign,german,german,single,8,0,Das; ist; nicht,nicht,Das; ist,,,"german=8[Das, ist, nicht]",!P Das ist nicht schwierig.,Das ist nicht schwierig.,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
endi_rozloucen_gott_mit_d_aMhC,likely_full_foreign,german,german,single,8,0,Gott; dir; mein; Herr,Gott; mein; Herr,dir,,,"german=8[Gott, dir, mein, Herr]","!P Gott mit dir, Mein Herr!","Gott sei mit dir, mein Herr!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
endi_rozloucen_gott_mit_d_ffjt,likely_full_foreign,german,german,single,8,0,Gott; dir; mein; Herr,Gott; mein; Herr,dir,,,"german=8[Gott, dir, mein, Herr]","!P Gott mit dir, Mein Herr!","Gott sei mit dir, mein Herr!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_mein_gott__PpjJ,likely_full_foreign,german,german,single,8,0,Mein; Gott; ist; ein,Mein; Gott,ist; ein,,,"german=8[Mein, Gott, ist, ein]",Mein Gott! Hier ist ein nackter Narr.,Mein Gott! Hier ist ein nackter Narr.,full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_m_servus_und_YMs9,likely_full_foreign,german,german,single,8,0,und; ich; dich; auch,dich; auch,und; ich,,,"german=8[und, ich, dich, auch]",Servus... und ich fühle dich auch!,Servus... und ich fühle dich auch!,full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_n_gruss_gott_elp7,likely_full_foreign,german,german,single,8,0,Grüss; Gott; Mann,Grüss; Gott; Mann,,,,"german=8[Grüss, Gott, Mann]","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!",full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_n_mein_gott__3XRV,likely_full_foreign,german,german,single,8,0,Mein; Gott; ist; ein,Mein; Gott,ist; ein,,,"german=8[Mein, Gott, ist, ein]",!P Mein Gott! Hier ist ein nackter Narr!,Mein Gott! Hier ist ein nackter Narr!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_n_mein_gott__dEt3,likely_full_foreign,german,german,single,8,0,Mein; Gott; ist; ein,Mein; Gott,ist; ein,,,"german=8[Mein, Gott, ist, ein]",!P Mein Gott! Hier ist ein nackter Narr!,!P Mein Gott! Hier ist ein nackter Narr!,full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_z_mein_gott__QmXQ,likely_full_foreign,german,german,single,8,0,Mein; Gott; ist; ein,Mein; Gott,ist; ein,,,"german=8[Mein, Gott, ist, ein]",!PMein Gott! Hier ist ein nackter Narr.,Mein Gott! Hier ist ein nackter Narr.,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_servus_und_guyD,likely_full_foreign,german,german,single,8,0,und; ich; dich; auch,dich; auch,und; ich,,,"german=8[und, ich, dich, auch]",!P Servus... und ich fühle dich auch!,!P Servus... und ich fühle dich auch!,full_foreign_translation,highest,no,,,,display is likely fully foreign
hosp_hospodsky_eh_scheiss_4HCN,likely_full_foreign,german,german,single,8,0,Scheiße; Ist; das,Scheiße,Ist; das,,,"german=8[Scheiße, Ist, das]","Eh, Scheisse, des ist Kalt!","Ah, Scheiße! Ist das kalt!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
hosp_hospodsky_eh_scheiss_i3up,likely_full_foreign,german,german,single,8,0,Scheiße; ist; das,Scheiße,ist; das,,,"german=8[Scheiße, ist, das]","!P Eh, Scheisse, des ist Kalt!","Scheiße, ist das kalt!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
hosp_hospodsky_oy_oy_vey_OSY6,likely_full_foreign,yiddish_hebrew,yiddish_hebrew,single,8,0,oy vey; Oy; oy,oy vey,Oy; oy,,,"yiddish_hebrew=8[oy vey, Oy, oy]","Oy, Oy Vey!","Oy, oy vey!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
hosp_hospodsky_oy_oy_vey_s9Of,likely_full_foreign,yiddish_hebrew,yiddish_hebrew,single,8,0,oy vey; Oy; oy,oy vey,Oy; oy,,,"yiddish_hebrew=8[oy vey, Oy, oy]","!P Oy, Oy Vey!","Oy, oy vey!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
hosp_hospodyne_kommt_scho_hd3d,likely_full_foreign,german,german,single,8,0,Kommt; meine,Kommt; meine,,,,"german=8[Kommt, meine]","Kommt schon, Madels! Komm!","Kommt, meine Damen. Kommt!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
hosp_hospodyne_so_so_gutes_XrTs,likely_full_foreign,german,german,single,8,0,das; gut; meine,meine,das; gut,,,"german=8[das, gut, meine]","!P So, so... gutes.",Du machst das gut meine Liebe.,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
kost_kostky_he_oy_oy_vej_c99q,likely_full_foreign,yiddish_hebrew,yiddish_hebrew,single,8,0,oy vey; Oy; oy,oy vey,Oy; oy,,,"yiddish_hebrew=8[oy vey, Oy, oy]","Oy, oy vej...","Oy, oy vey...",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
kost_kostky_pr_mein_gott__9znY,likely_full_foreign,german,german,single,8,0,Mein; Gott; warum,Mein; Gott; warum,,,,"german=8[Mein, Gott, warum]","Mein Gott, warum?!","Mein Gott, warum?!",full_foreign_translation,highest,no,,,,display is likely fully foreign
krov_kostkar_k_oy_oy_vej_o0vE,likely_full_foreign,yiddish_hebrew,yiddish_hebrew,single,8,0,oy vey; Oy; oy,oy vey,Oy; oy,,,"yiddish_hebrew=8[oy vey, Oy, oy]","Oy, oy vej!","Oy, oy vey!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
laze_lazebnice_ich_finde__vKry,likely_full_foreign,german,german,single,8,0,Ich; dir; mein; Herr,mein; Herr,Ich; dir,,,"german=8[Ich, dir, mein, Herr]","Ich finde es gut, mein Herr.","Ich hoffe, es gefiel dir, mein Herr.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
muz__hospodsky_es_ist_ein_OyyC,likely_full_foreign,german,german,single,8,0,ist; eine; mein; Herr,eine; mein; Herr,ist,,,"german=8[ist, eine, mein, Herr]","!P Es ist eine Ehre, mein Herr.","Es ist eine Ehre, mein Herr.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
nech_npc_vyrus_hmm_das_is_0V5H,likely_full_foreign,german,german,single,8,0,das; ist; meine,meine,das; ist,,,"german=8[das, ist, meine]","!P Hmm, das ist meine...","Hmm, das ist meine ...",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
npc__npc_naslo_mein_gott__PPex,likely_full_foreign,german,german,single,8,0,Mein; Gott; Warum,Mein; Gott; Warum,,,,"german=8[Mein, Gott, Warum]",!P Mein Gott... Warum!?,Mein Gott... Warum!?,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
o_zi_otte_koch_das_ist_do_hNLD,likely_full_foreign,german,german,single,8,0,Ist; das; nicht,nicht,Ist; das,,,"german=8[Ist, das, nicht]","!P Das ist doch klar, oder?",Ist das nicht offensichtlich?,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
posl_event_hla_das_ist_bl_grGR,likely_full_foreign,german,german,single,8,0,Das; ist,,Das; ist,,,"german=8[Das, ist]",!P Das ist Blödsinn! Es ist alles Unsinn!,Das ist Blödsinn! Das ist alles Unsinn!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
posl_event_hla_das_ist_bl_wsA2,likely_full_foreign,german,german,single,8,0,Das; ist,,Das; ist,,,"german=8[Das, ist]",!P Das ist Blödsinn! Es ist alles Unsinn!,Das ist Blödsinn! Das ist alles Unsinn!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
posl_event_hla_ja_das_ist_XL3j,likely_full_foreign,german,german,single,8,0,Ja; das; ist,,Ja; das; ist,,,"german=8[Ja, das, ist]","!P Ja, das ist richtig! Lass es einfach jeden hören!","Ja, das ist richtig! Jeder sollte das hören!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
