occurrence_count,total_localization_keys,max_revised_score,min_revised_score,classification,direct_reference_candidate,English_display,English_reference,preserved_tokens,sample_localization_keys
1,1,14,14,likely_foreign_phrase,yes,"Natürlich, warum auch nicht. Go ahead and look around, so you know what awaits you, junger Mann.","Natürlich, warum auch nicht. Go ahead and look around, so you know what awaits you, junge Mann.",Mann; Natürlich; auch; junger; nicht; warum,rozh_kupec_vel_ale_jiste__9oTJ
1,1,14,14,likely_foreign_phrase,yes,"Natürlich, warum auch nicht? Nobody's a saint, right?","Natürlich und warum nicht? Nobody's a saint, right?",Natürlich; auch; nicht; warum,opti_hospodsky_naturlich__9pPp
1,1,14,14,likely_foreign_phrase,yes,"Nein, das wird nicht passieren …","!P Nein, das wird nicht passieren...",Nein; nicht; passieren; wird,utik_soldier_u_nein_das_w_fq6Z
1,1,14,14,likely_foreign_phrase,yes,"Nun, sonst wäre ich ja nicht hier. What would you like?","!P Nun, sonst ware ich nicht hier. What would you like?",hier; nicht; sonst; wäre,o_zi_mistr_fab_nun_sonst__0syU
1,1,14,14,likely_foreign_phrase,yes,"Oh… Mein Gott, is this really all the documents?","Ech… Mein Gott, is this really all the documents?",Gott; Mein,mist_cechmistr_mein_gott__uIot
1,1,14,14,mixed_or_ambiguous,yes,"Pah… because even though they are certainly deserters, they still wear Hungarian colours and the people here are scared to death of Sigismund... und weiß Gott zu Recht!","!P Pah… because even though they are certainly deserters, they still wear Hungarian colours and the people here are scared to death of Sigismund... und weiß Gott zu Recht!",Gott; Recht; Sigismund; weiß,s_ho_hospodsky_protoze_se_37sC
1,1,14,14,likely_foreign_phrase,yes,Sancta Petronilla? Hmm… Weiß nicht.,!P Sancta Petronilla? Hmm… Weiss nicht.,Petronilla; Sancta; Weiß; nicht,rudo_rudokupec_sancta_pet_ehIs
1,1,14,14,likely_foreign_phrase,yes,Scheiße! Das Biest hat mich gebissen!,!P Scheisse! Die Bestie hat mich gebissen!,Biest; Scheiße; gebissen; mich,nepr_soldier_n_scheisse_d_KaAf
1,1,14,14,likely_foreign_phrase,yes,"Schön dich zu sehen, meine Dame!","!P Schon dich zu sehen, meine Damen!",Dame; Schön; dich; meine; sehen,pozd_pozdrav_n_schon_dich_hWyv
1,1,14,14,likely_foreign_phrase,yes,Servus … Habe dich schon von Weitem gerochen!,!P Servus... und ich fühle dich auch!,Habe; Servus; Weitem; dich; gerochen; schon,gree_pozdrav_n_servus_und_d5dJ
1,1,14,14,likely_foreign_phrase,yes,What did I do to anyone?! Mein Gott…,!P What did I do to anyone?! Mein Gott…,Gott; Mein,npc__npc_cilen_co_sem_kom_0XJq
1,1,14,14,likely_foreign_phrase,yes,Why's this unlocked! Mein Gott…,!P Why's this unlocked! Mein Gott…,Gott; Mein,npc__npc_vidi__proc_je_od_KJxo
1,1,14,14,mixed_or_ambiguous,yes,"Zum Glück nicht, junger Mann. I am the only merchant here around Trosky.","!P Zum Glück nicht, junger Mann. I am the only merchant here below Trosky.",Glück; Mann; Trosky; junger; nicht,o_zi_kupec_tro_zum_gluck__vIiW
1,1,14,14,likely_foreign_phrase,yes,Äh … Mein Gott?,!P Eh... Mein Gott?,Gott; Mein,gree_pozdrav_n_eh_mein_go_nBA6
2,2,13,13,mixed_or_ambiguous,yes,"Grüß Gott, Heinrich!","!P Grüss Gott, Heinrich!",Gott; Grüß; Heinrich,gree_pozdrav_n_gruss_gott_STTM; gree_pozdrav_n_gruss_gott_uNzk
2,2,13,13,likely_foreign_phrase,yes,"Hmm … Aber ja, warum nicht?","!P Hmm... Aber ja, warum nicht?",Aber; nicht; warum,comb_hejtman_f_hm_ale_jo__hfqM; comb_hejtman_s_hm_ale_jo__odQd
1,1,13,13,likely_foreign_phrase,yes,Das hat überhaupt nicht geklappt!,!P Das hat überhaupt nicht geklappt!,geklappt; nicht; überhaupt,blac_cechmistr_to_se_teda_5bwa
1,1,13,13,likely_foreign_phrase,yes,Das würde ich nicht wagen!,Ich würde es nicht wagen!,nicht; wagen; würde,goss_situace_z_ich_wurde__3WDa
1,1,13,13,likely_foreign_phrase,yes,Gott zum Gruße! Was willst du von mir?,!P Grüss Gott! Was willst du von mir?,Gott; Gruße; willst,gree_pozdrav_n_gruss_gott_2pj0
1,1,13,13,likely_foreign_phrase,yes,Grüß Gott! Was brauchst du?,Grüß Gott! Was du brauchst?,Gott; Grüß; brauchst,gree_pozdrav_m_gru_gott_w_cqFd
1,1,13,13,likely_foreign_phrase,yes,Grüß Gott! Was willst du?,Grüss Gott! Was willst du?,Gott; Grüß; willst,gree_pozdrav_m_willkommen_KJnB
1,1,13,13,likely_foreign_phrase,yes,Grüß dich! Was wünschst du?,Grüss dich! Was wünschst du?,Grüß; dich; wünschst,gree_pozdrav_m_gru_dich_w_jk1D
1,1,13,13,likely_foreign_phrase,yes,Ich weiß nicht. He went crawling to the Rathaus today to beg for a pardon. We'll see.,Ich weiss nicht. Today he went crawling to the Rathaus to beg for a pardon. We'll see.,Rathaus; nicht; weiß,goss_gossip_ob_ich_weiss__VKfz
1,1,13,13,likely_foreign_phrase,yes,Möge Gott mit dir sein.,!P Gott mit dir.,Gott; Möge; sein,endi_rozloucen_gott_mit_d_pQiV
1,1,13,13,likely_foreign_phrase,yes,"Nein, hast du nicht! The place was a pig sty, bones on the floor, apple core under the table…","!P Nein, sicher nicht. The place was a pig sty, bones on the floor, apple core under the table…",Nein; hast; nicht,goss_gossip_sp_neuklidil__cDL5
2,2,17,17,likely_foreign_phrase,no,"Schön dich zu sehen, mein Freund!","Schön dich zu sehen, mein Freund!",Freund; Schön; dich; mein; sehen,pozd_pozdrav_n_schon_dich_51zb; pozd_pozdrav_n_schon_dich_jmpr
1,1,17,17,likely_foreign_phrase,no,"!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?",Grüß; Herr; dich; helfen; kann; mein,gree_pozdrav_z_gru_dich_w_scax
1,1,17,17,likely_foreign_phrase,no,"Grüß dich! Wie kann ich dir helfen, mein Herr?","Grüß dich! Wie kann ich dir helfen, mein Herr?",Grüß; Herr; dich; helfen; kann; mein,gree_pozdrav_m_gru_dich_w_E1vx
1,1,17,17,likely_foreign_phrase,no,"Vielen Dank. Gott möge Ihre Hand führen, mein Freund.","Vielen Dank. Gott möge Ihre Hand führen, mein Freund.",Dank; Freund; Gott; Hand; Ihre; Vielen; führen; mein; möge,vrac_kradene_z_gott_moge__SOhH
2,2,15,15,likely_foreign_phrase,no,!P Mein Gott! Womit belästigst du mich?,!P Mein Gott! Womit belästigst du mich?,Gott; Mein; Womit; belästigst; mich,gree_pozdrav_n_mein_gott__JSU5; gree_pozdrav_n_mein_gott__fs7H
2,2,15,15,likely_foreign_phrase,no,"!P Mein Gott... Du stinkst ziemlich, weißt du das?","!P Mein Gott... Du stinkst ziemlich, weißt du das?",Gott; Mein; stinkst; weißt; ziemlich,gree_pozdrav_n_gruss_du_s_Jdkc; gree_pozdrav_n_mein_gott__fgHV
2,2,15,15,likely_foreign_phrase,no,"Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.",Danke; Freund; Glück; Zukunft; mein; viel,rozl_obchodnic_danke_und__TBcu; rozl_obchodnik_danke_und__UWAN
2,2,15,15,likely_foreign_phrase,no,"Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.",Danke; Glück; Herr; Zukunft; mein; viel,rozl_obchodnic_danke_und__kmLF; rozl_obchodnik_danke_und__3hA2
2,2,15,15,likely_foreign_phrase,no,"Gott segne dich, mein Freund!","Gott segne dich, mein Freund!",Freund; Gott; dich; mein; segne,pozd_pozdrav_n_gott_segne_L3JS; pozd_pozdrav_n_gott_segne_dfFz
2,2,15,15,likely_foreign_phrase,no,"Gott segne dich, mein Herr!","Gott segne dich, mein Herr!",Gott; Herr; dich; mein; segne,pozd_uctivy_po_gott_segne_WCSp; pozd_uctivy_po_gott_segne_ZYEh
1,1,15,15,likely_foreign_phrase,no,"!P Schönen Tag, was willst du, mein Freund?","!P Schönen Tag, was willst du, mein Freund?",Freund; Schönen; mein; willst,gree_pozdrav_z_schonen_ta_Kvm0
1,1,15,15,likely_foreign_phrase,no,"!P Schönen Tag, was willst du, mein Herr?","!P Schönen Tag, was willst du, mein Herr?",Herr; Schönen; mein; willst,gree_pozdrav_z_schonen_ta_JWHT
1,1,15,15,likely_foreign_phrase,no,"Bis bald, mein Freund! Gott segne dich.","Bis bald, mein Freund! Gott segne dich.",Freund; Gott; bald; dich; mein; segne,vyhe_dlc2_stre_bis_bald_m_JCkF
1,1,15,15,likely_foreign_phrase,no,"Na ja! You are right. Herr Gott, you must have been sehr Glücklich!","Na ja! You are right. Herr Gott, you must have been sehr Glücklich!",Glücklich; Gott; Herr; sehr,menh_menhart_z_na_ja_to_j_DOay
1,1,15,15,likely_foreign_phrase,no,"Vielen Dank, mein Freund! I knew you wouldn’t let me down, Henry!","Vielen Dank, mein Freund! I knew you wouldn’t let me down, Henry!",Dank; Freund; Henry; Vielen; mein,s_el_puskar_el_ja_vedel_z_ze1g
1,1,15,15,likely_foreign_phrase,no,Was? Ich verstehe dich überhaupt nicht. I not understand.,Was? Ich verstehe dich überhaupt nicht. I not understand.,dich; nicht; verstehe; überhaupt,lore_event_tab_was_ich_ve_zdSu
2,2,14,14,likely_foreign_phrase,no,"!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.",Freund; Mein; Trunkenheit; beneide; deine; dich; total,gree_pozdrav_n_mein_freun_KxnG; gree_pozdrav_n_mein_freun_nrPi
1,1,14,14,likely_foreign_phrase,no,"!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.",Freund; mein; prächtig,gree_pozdrav_z_gut_pracht_LYzL
1,1,14,14,likely_foreign_phrase,no,"Ah, listen, mein Freund… Boris could not tell you everything…","Ah, listen, mein Freund… Boris could not tell you everything…",Boris; Freund; mein,eich_cechmistr_podivej_se_OX2O
1,1,14,14,likely_foreign_phrase,no,"Mein Gott, es ist spät!","Mein Gott, es ist spät!",Gott; Mein; spät,zaka_zakaznik__mein_gott__DBlx
1,1,13,13,mixed_or_ambiguous,no,"!P Schön Heinrich, schön! Du hast getrunken, nicht wahr?","!P Schön Heinrich, schön! Du hast getrunken, nicht wahr?",Heinrich; Schön; getrunken; hast; nicht; schön; wahr,gree_pozdrav_z_schon_hein_taJT
1,1,13,13,likely_foreign_phrase,no,!P Servus... und ich fühle dich auch!,!P Servus... und ich fühle dich auch!,Servus; auch; dich; fühle,gree_pozdrav_z_servus_und_guyD
1,1,13,13,likely_foreign_phrase,no,Ezt nem tudtam... Nicht wissen! Bocsánat. I sorry. Békén hagyom.,Ezt nem tudtam... Nicht wissen! Bocsánat. I sorry. Békén hagyom.,Bocsánat; Békén; Nicht; hagyom; tudtam; wissen,dial_stalker_to_jsem_neve_hlLi
1,1,13,13,likely_foreign_phrase,no,"Schön, dich zu sehen, Gildenbruder!","Schön, dich zu sehen, Gildenbruder!",Gildenbruder; Schön; dich; sehen,dlc2_pozdrav_c_schon_dich_uPBk
1,1,13,13,likely_foreign_phrase,no,Servus... und ich fühle dich auch!,Servus... und ich fühle dich auch!,Servus; auch; dich; fühle,gree_pozdrav_m_servus_und_YMs9
1,1,13,13,likely_foreign_phrase,no,"Én, szerelmes. Ő hajadon. Nicht mann. Én erős. Ő szép. So schön...","Én, szerelmes. Ő hajadon. Nicht mann. Én erős. Ő szép. So schön...",Nicht; erős; hajadon; mann; schön; szerelmes; szép,dial_stalker_ja_laska_ona_dPF3
