localization_key,score,reasons,English_reference,English_display,preserved_tokens,preserved_in_locales
goss_gossip_ob_ich_weiss__VKfz,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: weiß, nicht, Rathaus | preserved token(s) also present in English reference",Ich weiss nicht. Today he went crawling to the Rathaus to beg for a pardon. We'll see.,Ich weiß nicht. He went crawling to the Rathaus today to beg for a pardon. We'll see.,weiß; nicht; Rathaus,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_gossip_ob_sechsstadt_xaZn,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Sechsstädtebund, Görlitz, Kamenz | preserved token(s) also present in English reference","Sechsstädtebund, the Lusatian League. Görlitz, Kamenz and the rest of them.","Der Sechsstädtebund, the Lusatian League. Görlitz, Kamenz and the rest of them.",Sechsstädtebund; Görlitz; Kamenz,Chineset; Czech; French; German; Italian; Polish; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese
goss_gossip_ob_zelicko_to_XLlF,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Lecker, gesund | preserved token(s) also present in English reference",!P Good old cabbage… I cannot get enough of it! Gut und gesund!,Good old cabbage… I cannot get enough of it! Lecker und gesund!,Lecker; gesund,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_sp_a_jo_to_mi_w8L3,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: meine, Frau, Hirse, Buchweizen | preserved token(s) also present in English reference","That is what meine Frau makes me eat. Alwas Hirse, Buchweizen and all these other… grains.","That is what meine Frau makes me eat. Always Hirse, Buchweizen and all these other… grains.",meine; Frau; Hirse; Buchweizen,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_sp_ale_asi_ne_xHiW,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: meine, Frau, gibt’s, Ärger | preserved token(s) also present in English reference","!P No. If meine Frau saw you, das gäbe nur Ärger.","No. If meine Frau saw you, gibt’s nur Ärger.",meine; Frau; gibt’s; Ärger,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_gossip_sp_bite_sejn__B1Yi,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: sheinem, dank, aber, neyn | preserved token(s) also present in English reference",A sheinem dank… aber neyn. I don't want to risk it.,!P A sheinem dank… aber neyn. I don't want to risk it.,sheinem; dank; aber; neyn,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_sp_halt_die_k_XrjS,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Khashokh, sfoseykha | preserved token(s) also present in English reference",Khashokh sfoseykha… I'm not so bad off to wish bad fortune on others.,!P Khashokh sfoseykha… I'm not so bad off to wish bad fortune on others.,Khashokh; sfoseykha,Chineset; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_sp_hm__tenhle_Gplg,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: verdammt, hochnäsig | preserved token(s) also present in English reference",!P Hm... verdammt Hochnäsig.,Hmm ... verdammt hochnäsig.,verdammt; hochnäsig,Chineses; Chineset; Czech; French; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_gossip_sp_nekecej_za_Oz71,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Welcher, Köter, denn, bitte | preserved token(s) also present in English reference","!P Sagen Sie, welcher Hund? So you left the door open for any mangy mutt to come wandering in here?",Welcher Köter denn bitte? So you left the door open for any mangy mutt to come wandering in here?,Welcher; Köter; denn; bitte,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_sp_neuklidil__cDL5,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Nein, hast, nicht | preserved token(s) also present in English reference","!P Nein, sicher nicht. The place was a pig sty, bones on the floor, apple core under the table…","Nein, hast du nicht! The place was a pig sty, bones on the floor, apple core under the table…",Nein; hast; nicht,Chineset; Czech; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_v__ale_kdyby__LSdF,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Wunderschön, Groß, schlank, elegant | preserved token(s) also present in English reference",But if you had seen her... Wunderschön! Hoch und schlank - as elegant as a doe.,You should have seen her… Wunderschön! Groß und schlank - as elegant as a doe.,Wunderschön; Groß; schlank; elegant,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_gossip_v__ich_ich_wa_jjfa,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: hatte, Glück | preserved token(s) also present in English reference",Ich? Ich war glücklich. Dogs like me. And the one they have there is not in any better shape than the master of the house or the cook.,Ich? Ich hatte Glück. Dogs like me. And the one they have there is not in any better shape than the master of the house or the cook.,hatte; Glück,Chineses; Chineset; Czech; French; German; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_v__nejses_kse_0xG3,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Geschäftsmann, geld | preserved token(s) also present in English reference","You're not a business man. Where you see difficulties, I see geld. Sell it all.","I see you are not a Geschäftsmann. Where you see a problem, I see geld! Just sell it all!",Geschäftsmann; geld,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_gossip_v__takze_ti_g_mNzP,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Geschäftsgeist, Plunder | preserved token(s) also present in English reference","So you see, you do have geschäftsgeist! From groschen to groschen. I would have also chopped up that ekel and sold it for firewood.",You see? You do have some Geschäftsgeist after all! I would have chopped that Plunder up and sold it as firewood.,Geschäftsgeist; Plunder,Chineses; Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
goss_lapka_mlu_a_hochu__t_KRGu,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Apám, azok, aztán, mindent, kibírnak | preserved token(s) also present in English reference","Apám, azok aztán mindent kibírnak.","Apám, azok aztán mindent kibírnak.",Apám; azok; aztán; mindent; kibírnak,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_a_nebo_jed_KCVl,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Vagy, valami, kretén, inkább, megöleti, magát, garast, adna | preserved token(s) also present in English reference","Vagy valami kretén, aki inkább megöleti magát, de egy garast sem adna ki a kezéből.","Vagy valami kretén, aki inkább megöleti magát, de egy garast sem adna ki a kezéből.",Vagy; valami; kretén; inkább; megöleti; magát; garast; adna; kezéből,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_a_vubec_se_eGB2,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: különben, vagy, kicsit, elkényeztetve | preserved token(s) also present in English reference","Meg különben is, nem vagy te egy kicsit elkényeztetve?","Meg különben is, nem vagy te egy kicsit elkényeztetve?",különben; vagy; kicsit; elkényeztetve,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_ale_ja_nic_G70P,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: hozzá, nyúltam, Csak, álltam, azon, agyaltam, hogy, vajon | preserved token(s) also present in English reference","Én meg hozzá se nyúltam. Csak álltam ott, és azon agyaltam, hogy vajon ki az, aki fátylat varr a békáknak.","Én meg hozzá se nyúltam. Csak álltam ott, és azon agyaltam, hogy vajon ki az, aki fátylat varr a békáknak.",hozzá; nyúltam; Csak; álltam; azon; agyaltam; hogy; vajon; fátylat; varr; békáknak,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_ale_vseho__XWrm,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: miénknek, volt, szavajárása, hogy, mindent, csak, mértékkel | preserved token(s) also present in English reference","A miénknek meg az volt a szavajárása, hogy mindent csak mértékkel.","A miénknek meg az volt a szavajárása, hogy mindent csak mértékkel.",miénknek; volt; szavajárása; hogy; mindent; csak; mértékkel,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_bacha_na_b_pVd1,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Hohó, csak, lúdvércek | preserved token(s) also present in English reference","Hohó, csak nem lúdvércek?","Hohó, csak nem lúdvércek?",Hohó; csak; lúdvércek,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_bludicky_n_klki,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: lúdvércek, dalolnak, azok, világítanak, szirének, énekelnek, csak, tengerbe | preserved token(s) also present in English reference","A lúdvércek nem dalolnak, azok világítanak. A szirének énekelnek, de azok meg csak a tengerbe’ vannak.","A lúdvércek nem dalolnak, azok világítanak. A szirének énekelnek, de azok meg csak a tengerbe’ vannak.",lúdvércek; dalolnak; azok; világítanak; szirének; énekelnek; csak; tengerbe; vannak,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_co_ja_vim__SAXG,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: tudom, Miért, bírták, volna | preserved token(s) also present in English reference",Mit tudom én. Miért ne bírták volna ki?,Mit tudom én. Miért ne bírták volna ki?,tudom; Miért; bírták; volna,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_covece_tla_LSCX,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Öregem, rohadtul, nyom, cipő | preserved token(s) also present in English reference","Öregem, rohadtul nyom ez a cipő!","Öregem, rohadtul nyom ez a cipő!",Öregem; rohadtul; nyom; cipő,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_dneska_se__kYIu,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: iszonyú, fura, álmom, volt | preserved token(s) also present in English reference",Ma iszonyú fura álmom volt.,Ma iszonyú fura álmom volt.,iszonyú; fura; álmom; volt,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_doprdele_t_gQoQ,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: faszom, bele, ilyen, szarházi | preserved token(s) also present in English reference","A faszom bele, egy ilyen szarházi.","A faszom bele, egy ilyen szarházi.",faszom; bele; ilyen; szarházi,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_doufam_ze__EoQ1,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Remélem, hogy, gyors, meló, lesz | preserved token(s) also present in English reference","Remélem, hogy gyors meló lesz.","Remélem, hogy gyors meló lesz.",Remélem; hogy; gyors; meló; lesz,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_duveruj_al_lBGE,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Higgyél, azért, mindig, ellenőrizd, dolgokat, Ahogy, papunk, mondogatta | preserved token(s) also present in English reference","Higgyél, de azért mindig ellenőrizd a dolgokat. Ahogy a papunk mondogatta, amikor gyerek voltam.","Higgyél, de azért mindig ellenőrizd a dolgokat. Ahogy a papunk mondogatta, amikor gyerek voltam.",Higgyél; azért; mindig; ellenőrizd; dolgokat; Ahogy; papunk; mondogatta; amikor; gyerek; voltam,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_dyt_jen_se_eC19,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Dehát, csak, trónolsz, bozótban, várod, hogy, valami, balfasz | preserved token(s) also present in English reference","Dehát csak itt trónolsz a bozótban és várod, hogy valami balfasz erre kolbászoljon, ebben mi olyan fárasztó?","Dehát csak itt trónolsz a bozótban és várod, hogy valami balfasz erre kolbászoljon, ebben mi olyan fárasztó?",Dehát; csak; trónolsz; bozótban; várod; hogy; valami; balfasz; erre; kolbászoljon; ebben; olyan; fárasztó,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_hehe_postn_xykx,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Hehe, böjti, szalonna, rossz, meddig, bírták | preserved token(s) also present in English reference","Hehe, böjti szalonna, nem is rossz. És meddig bírták ki?","Hehe, böjti szalonna, nem is rossz. És meddig bírták ki?",Hehe; böjti; szalonna; rossz; meddig; bírták,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_hehe_to_je_BXIU,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Hehe, rájuk, vall, bőrt, lenyúzzák, emberről | preserved token(s) also present in English reference","Hehe, ez rájuk vall. A bőrt is lenyúzzák az emberről.","Hehe, ez rájuk vall. A bőrt is lenyúzzák az emberről.",Hehe; rájuk; vall; bőrt; lenyúzzák; emberről,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_ja_mne_je__7e3N,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Nekem, aztán, mindegy, zabot, vagy, bármit, állandóan, döglött | preserved token(s) also present in English reference","Én? Nekem aztán mindegy, adj egy kis zabot, vagy bármit. De ha állandóan döglött halat zabálok.","Én? Nekem aztán mindegy, adj egy kis zabot, vagy bármit. De ha állandóan döglött halat zabálok.",Nekem; aztán; mindegy; zabot; vagy; bármit; állandóan; döglött; halat; zabálok,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_ja_vim_ale_adRA,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Tudom, csináljak, hallom, őket | preserved token(s) also present in English reference","Tudom, de mit csináljak, ha hallom őket?","Tudom, de mit csináljak, ha hallom őket?",Tudom; csináljak; hallom; őket,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_ja_za_to_n_Xsjk,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: tehetek, róla, hogy, pont, heringkereskedőt, evett, erre, fene | preserved token(s) also present in English reference","Hát én tehetek róla, hogy pont egy heringkereskedőt evett erre a fene? Csak nem hagyjuk kárba veszni!","Hát én tehetek róla, hogy pont egy heringkereskedőt evett erre a fene? Csak nem hagyjuk kárba veszni!",tehetek; róla; hogy; pont; heringkereskedőt; evett; erre; fene; Csak; hagyjuk; kárba; veszni,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_jak_jsme_t_LxYw,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Mint, amikor, lecsaptunk, azokra, bányászokra, mielőtt, begyűjthettük, volna | preserved token(s) also present in English reference","Mint amikor lecsaptunk azokra a bányászokra, de mielőtt begyűjthettük volna a suskát, megjelent az a rohadék lovag.","Mint amikor lecsaptunk azokra a bányászokra, de mielőtt begyűjthettük volna a suskát, megjelent az a rohadék lovag.",Mint; amikor; lecsaptunk; azokra; bányászokra; mielőtt; begyűjthettük; volna; suskát; megjelent; rohadék; lovag,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_jenze_tak__QpOY,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: remegett, keze, hogy, minden, garas, szarába, potyogott | preserved token(s) also present in English reference","De úgy remegett a keze, hogy minden garas a szarába potyogott.","De úgy remegett a keze, hogy minden garas a szarába potyogott.",remegett; keze; hogy; minden; garas; szarába; potyogott,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_jo_a_byly__TprR,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Nagyon, szőkék, voltak, fátylat, viseltek | preserved token(s) also present in English reference",Nagyon. És szőkék voltak és fátylat viseltek.,Nagyon. És szőkék voltak és fátylat viseltek.,Nagyon; szőkék; voltak; fátylat; viseltek,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_jo_jenze_t_mmWh,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: annak, csuhásnak, kicsi, volt, lába, most, tiszta, sarkam | preserved token(s) also present in English reference","Hát ja, de annak a csuhásnak kicsi volt a lába és most tiszta vér a sarkam.","Hát ja, de annak a csuhásnak kicsi volt a lába és most tiszta vér a sarkam.",annak; csuhásnak; kicsi; volt; lába; most; tiszta; sarkam,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_jo_to_bylo_lP7f,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: kurva, lovag, hogy, baszná | preserved token(s) also present in English reference","Ja, az a kurva lovag, hogy baszná meg.","Ja, az a kurva lovag, hogy baszná meg.",kurva; lovag; hogy; baszná,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_kazdopadne_TWXe,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: mindegy, szóval, álmomban, letérek, útról, megnézem, dalol | preserved token(s) also present in English reference","Na mindegy, szóval álmomban letérek az útról, megnézem már, ki dalol.","Na mindegy, szóval álmomban letérek az útról, megnézem már, ki dalol.",mindegy; szóval; álmomban; letérek; útról; megnézem; dalol,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_kdo_by_si__u51t,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: akarna, annyira, vágytam, volna, böjtölésre, beállhattam, szerzetesnek | preserved token(s) also present in English reference","Ki ne akarna? Ha annyira vágytam volna a böjtölésre, beállhattam volna szerzetesnek.","Ki ne akarna? Ha annyira vágytam volna a böjtölésre, beállhattam volna szerzetesnek.",akarna; annyira; vágytam; volna; böjtölésre; beállhattam; szerzetesnek,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_kolik_noci_djL9,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Mióta, aludtál, rendesen | preserved token(s) also present in English reference",Mióta nem aludtál már rendesen?,Mióta nem aludtál már rendesen?,Mióta; aludtál; rendesen,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_koukam_ze__XgfM,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Akkor, tőlük, örökölted | preserved token(s) also present in English reference",Akkor ezt tőlük örökölted.,Akkor ezt tőlük örökölted.,Akkor; tőlük; örökölted,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_kozli_ty_p_xV87,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Bakkecskéket, Hangról, tudod, különbözteti, bakkecskét, gödölyétől, lánccsörgést, hallottál | preserved token(s) also present in English reference",Mi? Bakkecskéket?! Hangról meg tudod különbözteti a bakkecskét a gödölyétől? És lánccsörgést nem hallottál?,Mi? Bakkecskéket?! Hangról meg tudod különbözteti a bakkecskét a gödölyétől? És lánccsörgést nem hallottál?,Bakkecskéket; Hangról; tudod; különbözteti; bakkecskét; gödölyétől; lánccsörgést; hallottál,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_kurva_to_s_iT5n,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: ördögbe, csak, Miért, vagyok, ilyen, szerencsétlen, átkozott, elátkozott | preserved token(s) also present in English reference","Az ördögbe is, csak nem! Miért vagyok ilyen szerencsétlen. Az átkozott pap elátkozott csizmái!","Az ördögbe is, csak nem! Miért vagyok ilyen szerencsétlen. Az átkozott pap elátkozott csizmái!",ördögbe; csak; Miért; vagyok; ilyen; szerencsétlen; átkozott; elátkozott; csizmái,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_ne__sem_sp_gkjo,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: aludtam, Milyen, hangokat | preserved token(s) also present in English reference",Nem én aludtam. Milyen hangokat?,"Nem én, aludtam. Milyen hangokat?",aludtam; Milyen; hangokat,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_nejdriv_se_woxo,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Először, gatyájából, potyogott, kincs, aztán, bukszájából, szórta, ezüstöket | preserved token(s) also present in English reference","Először a gatyájából potyogott a kincs, aztán meg a bukszájából szórta az ezüstöket!","Először a gatyájából potyogott a kincs, aztán meg a bukszájából szórta az ezüstöket!",Először; gatyájából; potyogott; kincs; aztán; bukszájából; szórta; ezüstöket,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_nekde_dole_2EtN,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: lent, hogy, érted | preserved token(s) also present in English reference",Ott lent? Ezt meg hogy érted?,Ott lent? Ezt meg hogy érted?,lent; hogy; érted,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_nezapomnel_21N3,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Remélem, szablyád, hagytad, megint, táborban | preserved token(s) also present in English reference","Remélem, a szablyád nem hagytad megint a táborban.","Remélem, a szablyád nem hagytad megint a táborban.",Remélem; szablyád; hagytad; megint; táborban,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_no__jo_a_t_VFJj,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Szóval, állok, bámulok, értem, valami, idegen, nyelven, énekelnek | preserved token(s) also present in English reference","Hát, ja. Szóval, állok és bámulok, de nem értem, valami idegen nyelven énekelnek.","Hát, ja. Szóval, állok és bámulok, de nem értem, valami idegen nyelven énekelnek.",Szóval; állok; bámulok; értem; valami; idegen; nyelven; énekelnek,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_no_a_co_hn_8LR2,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: akkor, Simán, bírnék, várakozás, marhára, kikészít | preserved token(s) also present in English reference",És akkor mi van? Simán bírnék még. Ez a várakozás marhára kikészít.,És akkor mi van? Simán bírnék még. Ez a várakozás marhára kikészít.,akkor; Simán; bírnék; várakozás; marhára; kikészít,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_no_a_pak_s_YcmG,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Odaérek, ilyen, tavacskához, látom, hogy, fatuskón, béka, azok | preserved token(s) also present in English reference","Odaérek egy ilyen kis tavacskához, hát látom, hogy egy fatuskón 13 béka ül és azok énekelnek.","Odaérek egy ilyen kis tavacskához, hát látom, hogy egy fatuskón 13 béka ül és azok énekelnek.",Odaérek; ilyen; tavacskához; látom; hogy; fatuskón; béka; azok; énekelnek,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_no_jako_po_DAHC,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: lent, föld, alatt | preserved token(s) also present in English reference","Hát lent, a föld alatt.","Hát lent, a föld alatt.",lent; föld; alatt,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_no_jo_no_c_0tao,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: igen, Egész, héten, heringet, zabálunk, csodálkozol | preserved token(s) also present in English reference","Na ja, hát igen. Egész héten heringet zabálunk, hát mit csodálkozol?","Na ja, hát igen. Egész héten heringet zabálunk, hát mit csodálkozol?",igen; Egész; héten; heringet; zabálunk; csodálkozol,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
goss_lapka_mlu_no_pak_se__c7wE,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Aztán, egyik, másik, után, elkezdtek, felfújódni, szétpukkantak, apám | preserved token(s) also present in English reference","Aztán egyik a másik után elkezdtek felfújódni és szétpukkantak. És apám, egy csomó arany szóródott ki belőlük.","Aztán egyik a másik után elkezdtek felfújódni és szétpukkantak. És apám, egy csomó arany szóródott ki belőlük.",Aztán; egyik; másik; után; elkezdtek; felfújódni; szétpukkantak; apám; csomó; arany; szóródott; belőlük,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese
