localization_key,English_display,English_reference,preserved_tokens,strong_preserved_tokens,preserved_in_languages,available_languages,strong_threshold,very_strong_threshold,very_strong_content_ratio,strong_content_ratio,max_language_preservation,source_score,direct_reference_diff,signal_languages,discovery_reasons
o_zi_urso_von__tady_v_tab_a7Ay,"Here in the camp I have my armiger Hagen Trott, two free archers and a combat hostler. Alles gute und unerschütterliche Jungs.","!P Here in the camp I have my armiger Hagen Trott, two free archers and a combat hostler. Alles gute und scharfe Jungs.",armiger; Hagen; Trott; Alles; gute; und; unerschütterliche; Jungs,hagen; trott; alles; gute; und; unerschütterliche; jungs,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.429,0.500,14,101,yes,german,signal_supported_two_token_preservation; english_reference_differs; signal_support
kost_kostky_st_ich_hoffe__FuD3,"Ich hoffe, das Glück steht mir bei.","Ich hoffe, das Glück steht mir bei.",Ich; hoffe; das; Glück; steht; mir; bei,ich; hoffe; das; glück; steht; mir; bei,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,german,dense_two_very_strong_preserved_tokens; signal_support
menh_menhart_z_a_povidam__s65i,"Ich sage dir, Heinrich... one day the Kaiser will acknowledge our Bruderschaft as the greatest Meister in the whole Reich. And then we will teach Fechten to everyone.","Ich sage dir, Heinrich... one day the Kaiser will acknowledge our Bruderschaft as the greatest Meister in the whole Reich. And then we will teach Fechten to everyone.",Ich; sage; dir; Kaiser; Bruderschaft; Meister; Reich; Fechten,ich; sage; dir; kaiser; bruderschaft; meister; reich; fechten,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.375,0.500,11,101,no,german,signal_supported_two_token_preservation; signal_support
lore_event_tab_laudetur_j_DBxa,"Laudetur Jesus Christus! Dominus tebiscum, frater meus.","Laudetur Jesus Christus! Dominus tebiscum, frater meus.",Laudetur; Jesus; Christus; Dominus; tebiscum; frater; meus,laudetur; jesus; christus; dominus; tebiscum; frater; meus,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,latin,dense_two_very_strong_preserved_tokens; signal_support
goss_lapka_mlu_a_vubec_se_eGB2,"Meg különben is, nem vagy te egy kicsit elkényeztetve?","Meg különben is, nem vagy te egy kicsit elkényeztetve?",Meg; különben; is; nem; vagy; te; egy; kicsit; elkényeztetve,meg; különben; nem; vagy; egy; kicsit; elkényeztetve,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,hungarian,dense_two_very_strong_preserved_tokens; signal_support
gree_pozdrav_m_mein_gott__PpjJ,Mein Gott! Hier ist ein nackter Narr.,Mein Gott! Hier ist ein nackter Narr.,Mein; Gott; Hier; ist; ein; nackter; Narr,mein; gott; hier; ist; ein; nackter; narr,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,german,dense_two_very_strong_preserved_tokens; signal_support
rozh_sedlaci_m_to_nevim_m_RxCl,"Přátelí se s ní Marta vod kováře. Ta by mohla vědět, kde je.",,Přátelí; se; s; ní; Marta; vod; kováře; Ta; by; mohla; vědět; kde; je,přátelí; marta; vod; kováře; mohla; vědět; kde,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,czech,dense_two_very_strong_preserved_tokens; signal_support
menh_menhart_z_takhle_me__5bQQ,That is why I muss mich duellieren with Nikolas and the anderen! To defend my guten Ruf and mein Recht.,!P That is why I muss Duell with Nikolas and the anderen! To defend my gute Name and mein Recht.,muss; mich; duellieren; Nikolas; anderen; guten; Ruf; mein; Recht,muss; mich; duellieren; anderen; guten; ruf; mein; recht,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,0.500,0.800,10,101,yes,german,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support
gree_obchodnik_wie_kann_i_cSy3,"Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund?",Wie; kann; ich; dir; helfen; mein; Freund,wie; kann; ich; dir; helfen; mein; freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,german,dense_two_very_strong_preserved_tokens; signal_support
gree_pozdrav_m_wie_kann_i_laXM,"Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund?",Wie; kann; ich; dir; helfen; mein; Freund,wie; kann; ich; dir; helfen; mein; freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,101,no,german,dense_two_very_strong_preserved_tokens; signal_support
s_el_puskar_el_aber_was_s_9PSP,"Aber was soll ich tun? You will struggle to compete with me anyway, du bist keine Konkurrenz!","Aber was soll ich tun? You will struggle to compete with me anyway, du bist keine Konkurrenz!",Aber; was; soll; ich; tun; du; bist; keine; Konkurrenz,aber; soll; ich; tun; bist; keine; konkurrenz,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.700,0.700,14,100,no,german,dense_two_very_strong_preserved_tokens; signal_support
zakl_henry_ave_maria_grat_EYO6,"Ave, Maria, gratia plena, Dominus tecum, Benedicta... err...","Ave, Maria, gratia plena, Dominus tecum, Benedicta... err...",Ave; Maria; gratia; plena; Dominus; tecum; Benedicta; err,ave; maria; gratia; plena; dominus; tecum; benedicta,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.875,0.875,14,100,no,latin,dense_two_very_strong_preserved_tokens; signal_support
nicl_rytir_nic_benedicta__XngN,"Benedicta tu in mulieribus, et benedictus fructus ventris tui Jesus.","Benedicta tu in mulieribus, et benedictus fructus ventris tui Jesus.",Benedicta; tu; in; mulieribus; et; benedictus; fructus; ventris; tui; Jesus,benedicta; mulieribus; benedictus; fructus; ventris; tui; jesus,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,100,no,latin,dense_two_very_strong_preserved_tokens; signal_support
vyhe_dlc2_stre_bis_bald_m_JCkF,"Bis bald, mein Freund! Gott segne dich.","Bis bald, mein Freund! Gott segne dich.",Bis; bald; mein; Freund; Gott; segne; dich,bis; bald; mein; freund; gott; segne; dich,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,100,no,german,dense_two_very_strong_preserved_tokens; signal_support
arne_arne_nemec_fick_dich_eNNB,Fick dich! Du verstehst verdammt noch mal nichts!,Fick dich! Du verstehst verdammt noch mal nichts!,Fick; dich; Du; verstehst; verdammt; noch; mal; nichts,fick; dich; verstehst; verdammt; noch; mal; nichts,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,100,no,german,dense_two_very_strong_preserved_tokens; signal_support
menh_menhart_z_hey_das_wa_LglQ,"Hey, das war gut! Was habe ich gesagt?","Hey, das war gut! Was habe ich gesagt?",Hey; das; war; gut; Was; habe; ich; gesagt,hey; das; war; gut; habe; ich; gesagt,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,100,no,german,dense_two_very_strong_preserved_tokens; signal_support
diva_divak_bar_to_sem_jes_lSRz,I don't think I've ever seen a person as clumsy as you!,I don't think I've ever seen a person as clumsy as you!,I; don't; think; I've; ever; seen; a; person; as; clumsy; you,don't; think; i've; ever; seen; person; clumsy,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,26,100,no,,dense_two_very_strong_preserved_tokens
jp_c_brabant_vaqeulin_bra_iJL8,"I, Vauquelin Brabant, chevalier, aventurier et voyageur, am at your service, mon brave Henri!","I, Vauquelin Brabant, chevalier, aventurier et voyageur, am at your service, mon brave Henri!",Vauquelin; Brabant; chevalier; aventurier; et; voyageur; mon; brave; Henri,vauquelin; brabant; chevalier; aventurier; voyageur; mon; brave; henri,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.667,0.889,12,100,no,,dense_two_very_strong_preserved_tokens
opil_opily_kum_ahoj_hB8Z,Mit csináljunk? Nem mehetünk vissza abba a fogadóba.,Mit csináljunk? Nem mehetünk vissza abba a fogadóba.,Mit; csináljunk; Nem; mehetünk; vissza; abba; a; fogadóba,mit; csináljunk; nem; mehetünk; vissza; abba; fogadóba,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,100,no,hungarian,dense_two_very_strong_preserved_tokens; signal_support
goss_uhersky_v_to_uz_mne__u3s5,So even you don't believe me now? I thought I could count on you…,So even you don't believe me now? I thought I could count on you…,So; even; you; don't; believe; me; now; I; thought; could; count; on,even; don't; believe; now; thought; could; count,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,1.000,1.000,26,100,no,,dense_two_very_strong_preserved_tokens
goss_lapka_mlu_takze_se_m_3zWl,"Szóval ha még egyszer megkérdezed, feldugom a kardom a seggedbe!","Szóval ha még egyszer megkérdezed, feldugom a kardom a seggedbe!",Szóval; ha; még; egyszer; megkérdezed; feldugom; a; kardom; seggedbe,szóval; még; egyszer; megkérdezed; feldugom; kardom; seggedbe,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,28,100,no,,dense_two_very_strong_preserved_tokens
goss_dlc3_goss_ze_spitalu_MtV7,They've started carrying bodies out of the monastery. The sickness took them.,They've started carrying bodies out of the monastery. The sickness took them.,They've; started; carrying; bodies; out; of; the; monastery; The; sickness; took; them,they've; started; carrying; bodies; monastery; sickness; took,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,28,100,no,,dense_two_very_strong_preserved_tokens
ulri_event_tab_auf_wieder_RPlA,"Wie auch immer, auf Wiedersehen, mein Freund.","Wie auch immer, auf Wiedersehen, mein Freund.",Wie; auch; immer; auf; Wiedersehen; mein; Freund,wie; auch; immer; auf; wiedersehen; mein; freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,1.000,1.000,14,100,no,german,dense_two_very_strong_preserved_tokens; signal_support
nepr_nepritel__bastard_br_1Ctg,"!P Schweinehund! Bastard! Brate in der Hölle, du böser Mensch!","!P Schweinehund! Bastard! Brate in der Hölle, du böser Mensch!",P; Schweinehund; Bastard; Brate; in; der; Hölle; du; böser; Mensch,schweinehund; bastard; brate; der; hölle; böser; mensch,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
refu_pogrom_re__adonay_hu_VaWt,"... Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.","... Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.",Adonoy; hu; nakhaloso; ve-yonuakh; al; mishkovo; be-sholem; ve-nomar; omen,adonoy; nakhaloso; ve-yonuakh; mishkovo; be-sholem; ve-nomar; omen,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
refu_pogrom_re__adonay_hu_c8Wy,"Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.","Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.",Adonoy; hu; nakhaloso; ve-yonuakh; al; mishkovo; be-sholem; ve-nomar; omen,adonoy; nakhaloso; ve-yonuakh; mishkovo; be-sholem; ve-nomar; omen,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
goss_uhersky_v_slysel_jse_JHXU,"Azt hallottam, hogy megint durva balhé készül.","Azt hallottam, hogy megint durva balhé készül.",Azt; hallottam; hogy; megint; durva; balhé; készül,azt; hallottam; hogy; megint; durva; balhé; készül,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
o_zi_hejtman_f_jo_presne__cnth,Das trifft den Nagel auf den Kopf …,"!P Ja, genau das ist es...",Das; trifft; den; Nagel; auf; Kopf,das; trifft; den; nagel; auf; kopf,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,28,99,yes,czech; german; slovak,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support
goss_lapka_mlu_zatimco_z__Swvp,"De belőled aztán biztos apátot csináltak volna, te gyönyörűség.","De belőled aztán biztos apátot csináltak volna, te gyönyörűség.",De; belőled; aztán; biztos; apátot; csináltak; volna; te; gyönyörűség,belőled; aztán; biztos; apátot; csináltak; volna; gyönyörűség,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
zada_kradene_z_nun_das_is_NmVw,"Gut, das ist kein Problem. I am glad you are not rushing headlong into everything, junger Mann.","Gut, das ist kein Problem. I am glad you are not rushing headlong into everything, junger Mann.",Gut; das; ist; kein; Problem; junger; Mann,gut; das; ist; kein; problem; junger; mann,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,0.583,0.583,13,99,no,german,dense_two_very_strong_preserved_tokens; signal_support
zada_cechmistr_gut_das_is_3QPA,"Gut, das ist kein Problem. I’m glad you’re not throwing yourself into everything headfirst, junger Mann.","Gut, das ist kein Problem. I’m glad you’re not throwing yourself into everything headfirst, junger Mann.",Gut; das; ist; kein; Problem; junger; Mann,gut; das; ist; kein; problem; junger; mann,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,0.467,0.467,13,99,no,german,signal_supported_two_token_preservation; signal_support
menh_arne_nemec_ja_ja_fal_Xtmu,"Heinrich will greifen us under Arme, ein einfacher kleiner Einbruch and we will beat them in their own game.","!P Heinrich will give us ein Hand, ein klein und einfach Einbruch and we will beat them in their own game.",will; greifen; under; Arme; ein; einfacher; kleiner; Einbruch,greifen; under; arme; ein; einfacher; kleiner; einbruch,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,0.600,0.700,12,99,yes,german,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support
inga_cumil_v_d_urcite_to__GnKk,I'm sure it was dog. Venda says dogs have the best meat.,I'm sure it was dog. Venda says dogs have the best meat.,I'm; sure; it; was; dog; Venda; says; dogs; have; the; best; meat,i'm; sure; dog; venda; says; dogs; meat,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
rezy_else_ich_werde_diese_Lj8n,Ich werde diesem Dummkopf sicher nicht helfen!,Ich werde diesem Dummkopf sicher nicht helfen!,Ich; werde; diesem; Dummkopf; sicher; nicht; helfen,ich; werde; diesem; dummkopf; sicher; nicht; helfen,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,1.000,1.000,13,99,no,german,dense_two_very_strong_preserved_tokens; signal_support
varo_pogrom_hl_zachrante__0cMR,"Lomir alts fargesn un rinen, dos iz pikeyekh neyfesh!","Lomir alts fargesn un rinen, dos iz pikeyekh neyfesh!",Lomir; alts; fargesn; un; rinen; dos; iz; pikeyekh; neyfesh,lomir; alts; fargesn; rinen; dos; pikeyekh; neyfesh,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
kost_kostky_st_mal_sehen__QfCy,"Mal sehen, wer heute Abend Glück hat.","Mal sehen, wer heute Abend Glück hat.",Mal; sehen; wer; heute; Abend; Glück; hat,mal; sehen; wer; heute; abend; glück; hat,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
goss_uhersky_v_ale_stejne_dq1A,"Mindegy, Grozav meg Katz úgyis szarnak a fejére.","Mindegy, Grozav meg Katz úgyis szarnak a fejére.",Mindegy; Grozav; meg; Katz; úgyis; szarnak; a; fejére,mindegy; grozav; meg; katz; úgyis; szarnak; fejére,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
goss_lapka_mlu_uz_zas_dyt_B5f6,Már megint? Dejszen egész mostanáig húztad a lóbőrt!,Már megint? Dejszen egész mostanáig húztad a lóbőrt!,Már; megint; Dejszen; egész; mostanáig; húztad; a; lóbőrt,már; megint; dejszen; egész; mostanáig; húztad; lóbőrt,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
turn_kutnohors_nic_moc_ch_TnuL,Nic moc! Chlapy z naší ulice to uměj líp!,,Nic; moc; Chlapy; z; naší; ulice; to; uměj; líp,nic; moc; chlapy; naší; ulice; uměj; líp,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
zakl_hrac_pater_noster_qu_BtkJ,"Pater noster, qui es in cælis, sanctificetur nomen tuum.","Pater noster, qui es in cælis, sanctificetur nomen tuum.",Pater; noster; qui; es; in; cælis; sanctificetur; nomen; tuum,pater; noster; qui; cælis; sanctificetur; nomen; tuum,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
lapk_lapka_v_r_radsi_se_h_8sLo,"Radši se hned votoč a táhni vodkud si přišel, dědku!",,Radši; se; hned; votoč; a; táhni; vodkud; si; přišel; dědku,radši; hned; votoč; táhni; vodkud; přišel; dědku,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
spec_menhart_z_wie_auch_i_SCsi,"Wie auch immer, die erste Lektion ist: in battle, the deciding factor tends to be skill. But more often than that, it is luck.","Wie auch immer, die erste Lektion ist: in battle, the deciding factor tends to be  skill. But more often than that, it is luck.",Wie; auch; immer; die; erste; Lektion; ist,wie; auch; immer; die; erste; lektion; ist,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,0.438,0.438,13,99,no,german,signal_supported_two_token_preservation; signal_support
varo_pogrom_hl_jdou_na_na_a6ka,Zey kumen! Lomir shnel tsu shul loyfn!,Zey kumen! Lomir shnel tsu shul loyfn!,Zey; kumen; Lomir; shnel; tsu; shul; loyfn,zey; kumen; lomir; shnel; tsu; shul; loyfn,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
goss_uhersky_v_armin_a_gy_XWXJ,"Ármin meg Gysel ott voltak, ők mindent tanúsítanak...","Ármin meg Gysel ott voltak, ők mindent tanúsítanak...",Ármin; meg; Gysel; ott; voltak; ők; mindent; tanúsítanak,ármin; meg; gysel; ott; voltak; mindent; tanúsítanak,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
goss_uhersky_v_vidim_to_s_nDhW,"Én is így vagyok vele. A hónap végéig, aztán annyi.","Én is így vagyok vele. A hónap végéig, aztán annyi.",Én; is; így; vagyok; vele; A; hónap; végéig; aztán; annyi,így; vagyok; vele; hónap; végéig; aztán; annyi,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
stre_strelnice_a_zase_do__gX3h,És újra a közepibe! Még csak meg se erőltetem magam!,És újra a közepibe! Még csak meg se erőltetem magam!,És; újra; a; közepibe; Még; csak; meg; se; erőltetem; magam,újra; közepibe; még; csak; meg; erőltetem; magam,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,99,no,,dense_two_very_strong_preserved_tokens
uvod_zavis_z_g_jeho_tak_p_hj8b,"Ależ! No w takim razie toś zacny gość, prawda? Such a distinguished visit!","Ależ! No w takim razie toś zacny gość, prawda? Such a distinguished visit!",Ależ; No; w; takim; razie; toś; zacny; gość; prawda,ależ; takim; razie; toś; zacny; gość; prawda,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.700,0.700,14,98,no,,dense_two_very_strong_preserved_tokens
pric_zikmund_l_at_hned_se_AW3Q,Azonnal gyűjtsék össze a legjobb katonáikat és keljenek útra!,Azonnal gyűjtsék össze a legjobb katonáikat és keljenek útra!,Azonnal; gyűjtsék; össze; a; legjobb; katonáikat; és; keljenek; útra,azonnal; gyűjtsék; össze; legjobb; katonáikat; keljenek; útra,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,98,no,,dense_two_very_strong_preserved_tokens
cin__opat_jan__cum_filio__XbFt,"cum Fílio tuo et Spíritu Sancto, in sǽcula sæculórum","cum Fílio tuo et Spíritu Sancto, in sǽcula sæculórum",cum; Fílio; tuo; et; Spíritu; Sancto; in; sǽcula; sæculórum,cum; fílio; tuo; spíritu; sancto; sǽcula; sæculórum,Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,98,no,,dense_two_very_strong_preserved_tokens
sest_stalker_stacilo_ti_t_JkRL,"Elég volt, vagy kérsz még egy kicsit?","Elég volt, vagy kérsz még egy kicsit?",Elég; volt; vagy; kérsz; még; egy; kicsit,elég; volt; vagy; kérsz; még; egy; kicsit,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,98,no,,dense_two_very_strong_preserved_tokens
kuma_spizovaci_myslis_ze__gAG7,"Gondolod, hogy fel fogja gyújtani ezt a helyet?","Gondolod, hogy fel fogja gyújtani ezt a helyet?",Gondolod; hogy; fel; fogja; gyújtani; ezt; a; helyet,gondolod; hogy; fel; fogja; gyújtani; ezt; helyet,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,98,no,,dense_two_very_strong_preserved_tokens
dial_vasko_hallod_jindra__cq8G,Hallod? Henry meg akarja szerezni neked azt a nőt!,Hallod? Henry meg akarja szerezni neked azt a nőt!,Hallod; meg; akarja; szerezni; neked; azt; a; nőt,hallod; meg; akarja; szerezni; neked; azt; nőt,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,98,no,,dense_two_very_strong_preserved_tokens
diva_divak_bar_doufam_ze__s2cn,I hope it's not going to be boring like the last time.,I hope it's not going to be boring like the last time.,I; hope; it's; not; going; to; be; boring; like; the; last; time,hope; it's; going; boring; like; last; time,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,14,98,no,,dense_two_very_strong_preserved_tokens
prat_pratelsky_ich_will_d_cGkA,Ich will dich nie wieder hier sehen.,!P Ich will dich nie wieder hier sehen.,Ich; will; dich; nie; wieder; hier; sehen,ich; dich; nie; wieder; hier; sehen,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,1.000,1.000,15,98,yes,german; polish; slovak,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support
kunz_kunclin_r_maximi_epi_krq8,Maximi episcopi et confesoris... Petronille virginis. Nicomedis martys... Aha... I think I understand...,Maximi episcopi et confesoris... Petronille virginis. Nicomedis martys... Aha... I think I understand...,Maximi; episcopi; et; confesoris; Petronille; virginis; Nicomedis; martys; Aha,maximi; episcopi; confesoris; petronille; virginis; nicomedis; martys,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,0.700,0.700,14,98,no,,dense_two_very_strong_preserved_tokens
