localization_key,English_reference,Chineses_display,Chineset_display,Czech_display,English_display,French_display,German_display,Italian_display,Japanese_display,Korean_display,Polish_display,Portuguese_display,Russian_display,Spanish_display,Turkish_display,Ukrainian_display,Vietnamese_display
vrac_kradene_z_ok_nevadi__TLtG,Da kann man nichts machen... I will have to tell the bailiff. Maybe his people will have more luck than you.,Da kann man nichts machen（无能为力）… 只能报官了，或许执行官的人会运气好一些。,Da kann man nichts machen（那也沒辦法）……我會去通報執行官，也許他的手下運氣會比較好。,Da kann man nichts machen... Budu muset říct rychtáři. Třeba jeho lidi budou mít víc štěstí než ty.,Da kann man nichts machen... I will have to tell the bailiff. Maybe his people will have more luck than you.,Da kann man nichts machen… Je vais devoir prévenir le bailli. Ses hommes auront peut-être plus de chance que toi.,Da kann man nichts machen … Ich muss es dem Vogt sagen. Vielleicht haben seine Leute mehr Glück als du.,Da kann man nichts machen… Dovrò dirlo al balivo. Forse i suoi uomini avranno più fortuna di te.,しかたない…  執行官に通報するしかなさそうだな<br/>お前より運に恵まれるかもしれない,Da kann man nichts machen... 행정관에게 알리겠네. 그의 부하들은 자네보다 운이 좋을지도 모르지.,Da kann man nichts machen... Będę musiał powiadomić wójta. Może jego ludzie będą mieli więcej szczęścia.,Da kann man nichts machen… Vou ter que contar ao meirinho. Talvez o pessoal dele dê mais sorte.,"Da kann man nichts machen... Придется идти говорить рихтаржу. Может, его люди будут иметь больше удачи.",Da kann man nichts machen… Tendré que informarle al merino. Puede que sus hombres tengan más suerte que vos.,Da kann man nichts machen... Valiye söylemem gerekecek. Belki onun adamları senden daha şanslıdır.,"Da kann man nichts machen... Доведеться повідомити ріхтаржа. Може, його людям пощастить більше.",Không còn cách nào khác... Tôi sẽ báo Quan Chấp Chính. Có lẽ lính tráng của ông ta sẽ có vận may hơn cậu.
noc__roza_ruth_ja_taky_ne_w3HZ,"Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!",（貞節と禁欲は大事よ  でもそれだけじゃダメ！）,"Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","¡Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo!","Da mihi castitatem et continentiam, sed noli modo! (Xin hãy ban cho con sự trong sạch và thanh thuần… vào lúc khác!)"
o_zi_otte_koch_ja_das_hab_960p,"!P Ja, das haben wir gemein. I'm neither a knight nor a local, but I'm close.",Da sind wir ja schon zwei（是的，我们在这一点上是相同的）。我既不是骑士，也不是本地人，但我住得并不远。,Da sind wir ja schon zwei!（啊，我也是。）我不是騎士也不是當地人，不過我住在附近。,"Ja, das haben wir gemein. Nejsem rytíř ani místní, ale daleko to nemám.","Da sind wir ja schon zwei! I am neither a knight nor a local, but I am not far off.","Da sind wir ja schon zwei ! Je ne suis ni chevalier, ni d'ici, mais peu s'en faut.","Da sind wir ja schon zwei! Ich bin weder ein Ritter noch ein Ortsansässiger, aber ich lebe in der Nähe.","Da sind wir ja schon zwei! Non sono cavaliere e non sono di qui, ma ci sei andato vicino.",ああ  俺と同じだな  俺は騎士でも地元民でも<br/>ないが  それに近い存在ではある,"Da sind wir ja schon zwei! 난 기사도, 이곳 사람도 아니야. 그렇다고 아주 아닌 것도 아니지만.","Da sind wir ja schon zwei! Nie jestem ani rycerzem, ani stąd, ale mieszkam niedaleko.","Da sind wir ja schon zwei! Não sou cavaleiro nem sou local, mas não estou muito longe.","Da sind wir ja schon zwei! Я не рыцарь, и не отсюда тоже, но и недалеко.","¡Da sind wir ja schon zwei! No soy ni caballero ni lugareño, pero no vais por mal camino.","Da sind wir ja schon zwei! Ne şövalye ne de buranın yerlisiyim, ama çok uzak da değilim.","Da sind wir ja schon zwei! Я не лицар і не місцевий, але мені звідси недалеко.","Da sind wir ja schon zwei! Tôi cũng chẳng phải hiệp sĩ hay người bản địa, nhưng cũng không cách xa mấy đâu."
bibr_kuman_bib_daban_horz_uqsj,Daban horz. I am Bibrek.,Daban horz。我是布烈克。,Daban horz。我是比布雷克。,Daban horz. Jsem Bibrek.,Daban horz. I am Bibrek.,Daban horz. Je m'appelle Bibrek.,Daban horz. Ich bin Bibrek.,Daban horz. Io sono Bibrek.,おはよう  俺はビブレク,안녕하신가. 비브레크라고 하네.,Daban horz. Jestem Bibrek.,Daban horz. Sou Bibrek.,Daban horz. Я – Бибрек.,Daban horz. Soy Bibrek.,Daban horz. Ben Bibrek.,Daban horz. Я Бібрек.,Chào buổi sáng. Tôi là Bibrek.
stre_strelnice_dalsi_bod__sJuv,,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,### FATAL ERROR: RESPONSE NOT TRANSLATED ###,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...,Další bod k dobru...
gree_pozdrav_n_sakra_chla_w0KZ,"Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Sakra chlape, umyj se! Vypadáš strašně.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Dammit, lad, go take a bath! You look terrible.","Khốn kiếp, nhóc, đi tắm ngay đi! Trông cậu bù khú lắm rồi."
bibr_handlir_m_na_na_na_d_2bS6,"Damn it Bibrek, I should have guessed you would try that!",该死，布烈克，我早该猜到你会来这一出！,該死，比布雷克！Ujaravas hoy oda skushineha！,"Zatracená práce, Bibreku! Užaravas, hoj oda skušineha!",Damn it Bibrek! Ujaravas hoy oda skushineha!,"Bon sang, Bibrek, j'aurais dû me douter que tu tenterais quelque chose comme ça !","Verflucht, Bibrek, ich hätte ahnen müssen, was du im Schilde führst!","Dannazione, Bibrek! Ujaravas hoy oda skushineha!",おい  ビブレク！  Ujaravas<br/>hoy  oda  skushineha！,망할 비브레크! Ujaravas hoy oda skushineha!,"Niech to, Bibrek! Ujarawas hoj oda skuszineha!","Maldição, Bibrek! Ujaravas hoy oda skushineha!","Черт побери, Бибрек! Ujaravas hoy oda skushineha!","¡Pardiez, Bibrek! ¡Debería haber sabido que haríais algo así!","Lanet olsun Bibrek, bunu deneyeceğini tahmin etmeliydim!","Дідько, Бібреку! Ujaravas hoy oda skushineha!","Này, Bibrek! Ujaravas hoy, oda, skushineha!"
prat_pratelsky_zatracene__pXxu,"Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","Zatraceně, takhle skončit...","Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…",### FATAL ERROR: RESPONSE NOT TRANSLATED ###,"Damn it, to end up like that…","Damn it, to end up like that…","Damn it, to end up like that…","M kiếp, rốt cuộc lại thê thảm thế này…"
menh_menhart_z_list_od_vl_xzUg,!P Damned be all Kuttenberg! Not acknowledging a letter from their own king and wounding Arne? So ein Dreck!,该死的库滕堡！竟然不承认他们自己国王的信件，还伤了阿耳涅？So ein Dreck（太可恶了）！,天殺的庫滕貝格混蛋！完全不甩他們國王的信和受傷的亞納？So ein Dreck（真他媽狗屎）！,Proklatá celá tahle Kuttenberg! List od vlastní král tu neuznat a ještě Arneho zranit. So ein Dreck!,Damned be all Kuttenberg! Not acknowledging a letter from their own king and wounding Arne? So ein Dreck!,Maudit soit Kuttenberg ! Réfuter une lettre de son propre roi et blesser Arne ? So ein Dreck !,"Verdammt sei Kuttenberg! Erst scheißen sie auf einen Brief von ihrem König, dann verwunden sie Arne?! Mist!",Al diavolo tutta Kuttenberg! Non riconoscere una lettera del re e ferire Arne? So ein Dreck!,クッテンバークなぞ呪われろ！  王の直筆の手紙も<br/>認めず  アルネに傷を負わせた輩めが！,"빌어먹을 쿠텐버그 놈들! 자기네 왕이 쓴 문서도 인정 안 하고, 우리 아르네까지 다치게 해? So ein Dreck!","Niech diabli porwą cały Kuttenberg! Nie uznali glejtu od ich własnego króla, poturbowali Arnego! So ein Dreck!",Malditos Kuttenbergs! Não reconhecer uma carta do rei e ainda machucar o Arne? So ein Dreck!,Проклятый Куттенберг! Они не хотели признавайт письмо от их король и ранить Арне? So ein Dreck!,¡Maldito sea Kutná Hora! ¿No reconocer una carta de su propio rey y herir a Arne?… ¡So ein Dreck!,"Kuttenberg’e lanet olsun! Kendi krallarının mektubunu hiçe saymak, üstüne Arne’ı yaralamak? So ein Dreck!","Будь проклятий цей Куттенберг! Не визнати хартію від власного короля, та ще й поранити Арне!",Cả lũ Kuttenberg đáng nguyền rủa! Dám không công nhận thư của vua mình và còn làm bị thương Arne? So ein Dreck!
assa_npc_bylo__von_me_kou_as41,"!T Danderdja man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar!","Danderďa man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar !","Danderdja man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar!","Danderdża man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar!","¡Danderdja man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar!","Danderdja man, oda kar!"
pozd_sousedsky_dank_E7Fd,Dank.,Dank.,Dank（感謝。）,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.,Dank.
menh_arne_nemec_danke_fri_eAzu,!P Danke Fridusch. Aber what about the duels?!,Danke Fridusch.（谢谢，弗里杜斯。） Aber（但是）决斗怎么办？！,Danke（謝了），弗里杜什。Aber（那）決鬥呢？！,"Danke, Fridusch. Aber co souboje?!",Danke Fridusch. Aber what about the duels?!,"Danke Fridusch. Aber, et pour les duels ?","Ha-hab Dank, Fridusch. Was ist mit den Zweikämpfen?!","Danke, Fridush. Aber che ne sarà dei duelli?!",ありがとう  フリドゥシュ  決闘のほうは<br/>どうなる！？,"Danke, 프리드리히. Aber 결투는 어떻게 되었습니까?!","Danke, Fridusch. Aber jak tam pojedynki?!","Danke, Fridush. Aber e os duelos?!","Danke, Фридуш. Aber как тогда поединки?","Danke, Fridush. ¡¿Pero qué pasa con los duelos?!",Danke Fridusch. Aber düellolar ne olacak?!,"Danke, Фрідуше. Aber що з турніром?!","Cảm ơn, Fridusch. Nhưng trận đấu thì sao?!"
spec_oswald_to_danke_mein_rNMO,"!P Danke mein Freunde. I'm flattered, but I'm just an amateur enthusiast.",Danke mein Freund（谢谢，朋友），我很荣幸，但我只是把它当作爱好，还需学习。,Danke mein Freund（謝謝你，我的朋友）。我很高興能被你稱讚，但我只是一個微不足道的煉金術愛好者罷了。,"Danke mein Freund. To mi lichotí, ale jsem jen pouhý amatérský nadšenec.","Danke mein Freund. I am flattered, but I am only a humble enthusiast.","Danke, mein Freund. Je suis flatté, mais je ne suis qu'un modeste amateur.","Danke, mein Freund. Du schmeichelst mir. Doch ich bin kaum mehr als ein bescheidener Anfänger.","Danke mein Freund. Sono lusingato, ma sono solo un umile dilettante.",ありがとう  光栄に思うよ  だが私は慎ましい<br/>愛好家にすぎない,Danke mein Freund. 영광이구먼. 하지만 난 변변치 않은 애호가일 뿐일세.,"Danke, mein Freund. Schlebia mi to, ale jestem tylko zwykłym entuzjastą.","Danke, mein Freund. Fico lisonjeado, mas sou apenas um humilde entusiasta.","Danke mein Freund. Твои слова лестны, но я – лишь скромный любитель.","Danke, mein Freund. Me halagáis, pero no soy más que un humilde entusiasta.",Danke mein Freund. Gururum okşandı ama ben sadece mütevazi bir tutkunum.,"Danke mein Freund. Мені приємно, але я лише скромний любитель.","Cảm ơn, mein Freund. Tôi thấy vinh dự, nhưng thật ra tôi chỉ là một kẻ đam mê khiêm tốn."
rozl_obchodnic_danke_und__TBcu,"Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.（谢谢你，我的朋友。祝你好运！）","Danke und viel Glück für die Zukunft, mein Freund.（我的朋友，謝謝你，祝你好運！）","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund."
rozl_obchodnic_danke_und__kmLF,"Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.（多谢先生，祝你好运！）","Danke und viel Glück für die Zukunft, mein Herr.（先生，謝謝你，祝你好運！）","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr."
odev_cechmistr_pokud_u_to_PNmM,"Danke, aber nein, first I need to think it all over. I’ll let you know when I figure something out.","Danke, aber nein（谢谢，但不用）， 我得先理清头绪。有决定会告诉你。","Danke, aber nein（謝謝你，但現在先不用），我得先好好想一想。等我想出辦法再聯絡你。","Danke, aber nein, nejdřív si to všechno musím promyslet. Ozvu se ti, až budu vědět víc.","Danke, aber nein, first I need to think it all over. I’ll let you know when I figure something out.","Danke, aber nein. D'abord, je dois réfléchir à toute cette situation. Je te tiendrai au courant si je trouve une solution.","Danke, aber nein, ich muss erst darüber nachdenken. Ich sag dir Bescheid, wenn mir was einfällt.","Danke, aber nein, prima devo pensarci su. Ti farò sapere quando mi verrà in mente qualcosa.",ありがとう  だがいい  まずはひとりでよく<br/>考えさせてくれ…  何か思いついたら知らせるよ,"Danke, aber nein. 일단 처음부터 다시 생각을 해야겠어. 뭐라도 알아내면 알려주도록 하겠네.","Danke, aber nein, najpierw muszę wszytko przemyśleć. Dam ci znać, jak coś wykombinuję.","Danke, aber nein, primeiro preciso pensar direito. Eu te aviso quando tiver alguma ideia.","Danke, aber nein, мне сперва надо все обдумать. Я тебе скажу, как что-то придет в голову.","Danke, aber nein, antes tengo que meditarlo bien. En cuanto tome una decisión, os lo haré saber.","Danke, aber nein, önce bir düşünmem lazım. Bir şey bulunca sana haber veririm.","Danke, aber nein, спершу маю усе обміркувати. Я дам знати, коли щось вирішу.","Cảm ơn cậu, nhưng chưa, trước tiên tôi cần suy nghĩ cho thấu đáo. Khi nào quyết được tôi sẽ báo cho cậu biết."
odev_cechmistr_danke_mein_iZWE,"Danke, mein Freund, danke.",Danke（谢谢），mein Freund（我的朋友），Danke（谢谢）。,"Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.",恩に着るぞ友よ  ありがとう,"Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Danke, mein Freund, danke.","Cảm ơn cậu, bạn tôi, cảm ơn cậu."
menh_arne_nemec_danke_mei_GqnV,"!P Danke, mein Freund.","Danke, mein Freund.（谢谢你，我的朋友。）","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.",（ありがとう  友よ）,"Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund.","Danke, mein Freund."
menh_henry_danke_menhart_ZxyY,!P Danke Menhard.,Danke（谢谢），门哈德！,Danke（謝了），曼哈德！,"Danke, Menhart.","Danke, Menhard!","Danke, Menhard !","Danke, Menhart!","Danke, Menhard!",どうもありがとう！,"Danke, 멘하르트!","Danke, Meinhardzie.","Danke, Menhard!","Danke, Менхард!","Danke, Menhard.","Danke, Menhard!","Danke, Менгарде!","Cảm ơn, Menhard!"
menh_henry_danke_menhart_ijMz,"Danke, Menhard.","Danke（谢了）, 门哈德.",Danke（謝了），曼哈德。,"Danke, Menhard.","Danke, Menhard.","Danke, Menhard.","Danke, Menhart.","Danke, Menhard.",ありがとう,"Danke, 멘하르트.","Danke, Meinhard.","Danke, Menhard.","Danke, Менхард.","Danke, Menhard.","Danke, Menhard.","Danke, Менгарде.","Cảm ơn, Menhard!"
hrac_hejtman_f_diky_jindr_LSVU,!P Danke.,Danke（感谢）。,Danke（謝謝你）。,Danke.,Danke.,Danke.,Danke.,Danke.,（ありがとう）,Danke.,Danke.,Danke.,Danke.,Danke.,Danke.,Danke.,Danke.
rozl_obchodnic_danke_das__iWvg,"Danke. Das ist gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!（谢谢你先生，真是笔愉快的交易！）","Danke. Das war ein gutes Geschäft, mein Herr!（先生謝謝你，這真是場愉快的交易！）","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. ¡Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!","Danke. Das war ein gutes Geschäft, mein Herr!"
muz__muz_prona_wie_ich_be_hmsG,!P Danke. Wie ich bereits sagte...,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte...,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …,/Danke. Wie ich bereits sagte …\,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte…,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte…,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …,Danke. Wie ich bereits sagte …
menh_menhart_z_danke_ze_j_3pay,"Danke. You arranged it for us, aber Schade, that they have seen you doing it.",谢谢你。你为我们进行安排，aber Schade（可惜），他们看到你了。,謝謝你幫我們安排好這件事，aber Schade（很可惜的是）你被他們看見了。,"Danke. To ty jsi pro nás zařídil, aber Schade, že tě u toho oni zmerčit.","Danke. You arranged it for us, aber Schade, that they have seen you doing it.","Danke pour l'avoir arrangé, mais Schade qu'ils t'aient vu faire.","Danke. Ohne dich wären wir nicht so weit gekommen. Schade nur, dass du bei der Tat gesehen wurdest.","Danke. Hai provveduto a tutto per noi, ma purtroppo ti hanno visto.",ダンケ  お前のおかげで場が整った  だが彼らに<br/>見られてしまったのは残念だ,"Danke. 자네 덕분에 성사된 일이긴 하지만, aber Schade, 저들에게 들켰다는 게 아쉽군.","Danke. Załatwiłeś nam to, aber Schade, że cię przyuważyli.","Danke. Você providenciou isso para nós, aber Schade que eles te pegaram no ato.","Danke. Ты это для нас устроить, aber Schade, что тебя за этим застать.","Danke. Lo dispusisteis todo por nosotros, aber Schade, al final os vieron.","Danke. Bunu bizim için ayarladın, seni iş üstünde görmüş olmaları, aber Schade.","Danke. Ти влаштував це для нас, aber Schade, що вони тебе побачили.","Cảm ơn. Cậu đã sắp xếp chuyện đó cho chúng tôi, aber Schade, nhưng có người thấy cậu làm việc ấy."
muz__muz_prona_rad_sem_ti_e2J3,"!P Danke schön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Danke schön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","/Dankeschön und gute Nacht, mein Herr.\","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr.","Dankeschön und gute Nacht, mein Herr."
ques_quest_tip_a_slysel_s_gZ4B,!P Und dann ist da noch das Unerhörte! I heard they found a dragon nearby!,Dann ist da noch diese unfassbare Geschichte!（然后我还听说了一件前所未闻的事！）我听说他们在附近发现了一条龙！,Dann ist da noch diese unfassbare Geschichte（我有個天大的消息）！聽說有人在附近發現了一條龍！,Dann ist da noch diese unfassbare Geschichte! Nedaleko vodsud prej našli draka!,Dann ist da noch diese unfassbare Geschichte! I heard they found a dragon nearby!,Dann ist da noch diese unfassbare Geschichte! Il se dit qu'on a trouvé un dragon près d'ici !,Dann ist da noch diese unfassbare Geschichte! In der Nähe wurde ein Drache gefunden!,Dann ist da noch diese unfassbare Geschichte! Ho sentito che hanno trovato un drago qui vicino!,おまけに  もっと信じられないことがあるんだ！<br/>近くでドラゴンが見つかったらしい！,Dann ist da noch diese unfassbare Geschichte! 이 근처에서 용이 나왔대!,Dann ist da noch diese unfassbare Geschichte! Ponoć nieopodal znaleziono smoka!,Dann ist da noch diese unfassbare Geschichte! Ouvi dizer que acharam um dragão aqui perto!,"Dann ist da noch diese unfassbare Geschichte! Говорят, поблизости дракона найти!",¡Dann ist da noch diese unfassbare Geschichte! ¡Dicen que hallaron un dragón cerca!,Dann ist da noch diese unfassbare Geschichte! Yakınlarda bir yerde ejderha bulduklarını duydum!,"Dann ist da noch diese unfassbare Geschichte! Кажуть, тут неподалік знайшли дракона!","Thêm nữa, còn có một chuyện khó tin hơn! Nghe nói gần đây có rồng xuất hiện!"
o_zi_kupec_tro_nun_fragen_As97,"!P Nun, fragen Sie mich. Let's hear it.",Dann schieß mal los（好吧，你问吧）。是什么事？,Dann schieß mal los（你問吧），怎麼了？,"Nun, fragen Sie mich. O co jde?",Dann schieß mal los. What is it?,Dann schieß mal los. Lesquelles ?,Dann schieß mal los. Was willst du wissen?,Dann schieß mal los. Cosa c'è?,なら聞けばいい  なんだ？,Dann schieß mal los. 뭐지?,Dann schieß mal los. O co chodzi?,Dann schieß mal los. O que é?,Dann schieß mal los. В чем дело?,Dann schieß mal los. ¿Qué queréis?,Dann schieß mal los. Nedir?,Dann schieß mal los. Про що йдеться?,Dann schieß mal los. Cái gì vậy?
menh_arne_nemec_daran_lie_s5Y6,Daran liegt der ganze Kniff.,Daran liegt der wholeze Kniff.（这就是个诡计。 ）,Daran liegt der ganze Kniff.（這就是個詭計。）,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Das ist ja die Krönung des Ganzen.,Daran liegt der ganze Kniff.,（そこが大事なんだ）,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der ganze Kniff.,Daran liegt der wholeze Kniff.
goss_gossip_v__ich_konnte_z2c5,Ich könnte das vergessen. I don't need to remember this.,Daran muss ich mich nicht erinnern，这种经历我宁愿永远别记住。,Daran muss ich mich nicht erinnern，這種事我根本不想記得。,Daran muss ich mich nicht erinnern. Tohle bych radši zapomněl.,Daran muss ich mich nicht erinnern. I would prefer to forget this one.,Daran muss ich mich nicht erinnern. Je préférerais oublier celle-là.,*Also daran muss ich mich in Zukunft nicht unbedingt erinnern.*,Daran muss ich mich nicht erinnern. Questa preferirei decisamente dimenticarla.,言うだけなら簡単だ  できれば今回のことは<br/>忘れたいよ,Daran muss ich mich nicht erinnern. 이딴 기억은 지워 버리고 싶어.,Daran muss ich mich nicht erinnern To wolałbym zapomnieć.,Daran muss ich mich nicht erinnern. Eu preferiria esquecer essa.,Daran muss ich mich nicht erinnern. Я не хотеть об этом вспомнить.,Daran muss ich mich nicht erinnern. Pues yo esta preferiría olvidarla.,Daran muss ich mich nicht erinnern.  Bu anıyı unutmayı tercih ederim.,Ich könnte das vergessen. Я б таке радше забув.,"Nói thì dễ, nhưng nếu được tao cũng muốn quên phứt cái vụ này cho rồi."
hosp_hospodsky_so_wollen__rGqF,!P So wollen eine weitere?,Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf's noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf's noch was sein?,Darf’s noch was sein?,¿Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?,Darf’s noch was sein?
rozh_majitel_s_to_jsem_ja_ljZw,"!P Das bin ich. What do you want? Spit it out, I've no time to waste.",Das bin ich（我就是）。有何贵干？快说吧，我没时间了。,Das bin ich（我就是）。你想做什麼？快說，別浪費我的時間。,"Das bin ich. Co mi chceš? A hoď sebou, nemám času nazbyt.","Das bin ich. What do you want? Spit it out, I've no time to waste.","Das bin ich. Qu'est-ce que tu veux ? Parle, je n'ai pas de temps à perdre.","Das bin ich. Was willst du? Raus mit der Sprache, ich habe nicht viel Zeit.","Das bin ich. Che cosa vuoi? Parla, non ho tempo da perdere.",俺だ  何の用だ？  とっとと話せ  忙しいんだ,Das bin ich. 원하는 게 뭐지? 어서 말해. 낭비할 시간 없으니까.,"Das bin ich. Czego chcesz? Gadaj tu zaraz, nie marnuj mojego czasu!","Das bin ich. O que quer? Desembucha, não tenho tempo a perder.","Das bin ich. Что тебе нужно? Говори, я человек занятой.","Das bin ich. ¿Qué queréis? Hablad ya, no tengo tiempo que perder.","Das bin ich. Ne istiyorsun? Öt çabuk, boşa harcayacak vaktim yok benim.","Das bin ich. Чого тобі? Викладай хутко, бо не маю часу.","Das bin ich. Cậu muốn gì? Nói nhanh lên, ta không có thời gian để lãng phí đâu."
