sample_bucket,localization_key,source_score,discovery_reasons,signal_languages,strong_preserved_tokens,very_strong_content_ratio,strong_content_ratio,English_display,English_reference
MIDDLE,obra_obrance_v_postrilime_HVbp,50,dense_two_very_strong_preserved_tokens,,we'll; shoot; scum,1.000,1.000,"We'll shoot you, scum!","We'll shoot you, scum!"
MIDDLE,ques_quest_tip_stezovat_s_owbY,50,signal_supported_two_token_preservation; english_reference_differs; signal_support,german,dobrosh; eine; aufgabe,0.286,0.429,You ought to have a word with our Huntsman Dobrosh. He might have eine Aufgabe for you.,!P You ought to have a word with our Huntsman Dobrosh. He might have einen Pfuschen for you.
MIDDLE,obra_obrance_v_budete_se__bnQW,50,dense_two_very_strong_preserved_tokens,,you'll; burn; hell,1.000,1.000,You'll burn in hell!,You'll burn in hell!
MIDDLE,cin__legatuv_m_e_buono_il_5s2N,50,dense_two_very_strong_preserved_tokens,,buono; pollo; eminenza,1.000,1.000,"È buono il pollo, Eminenza??","È buono il pollo, Eminenza??"
MIDDLE,smlo_smlouvani_pche_chaso_om8G,49,dense_two_very_strong_preserved_tokens; english_reference_differs,,pfff; khashokh; sfoseykha,0.667,1.000,<pfff>Khashokh sfoseykha...,"!P Pff, Chashoch sfosejcha..."
MIDDLE,gree_pozdrav_n_pozehnane__78Hq,49,dense_two_very_strong_preserved_tokens,,blessed; morning; friend,1.000,1.000,"A blessed morning to you, my friend!","A blessed morning to you, my friend!"
MIDDLE,pusk_puskar_el_aber_wo_be_OMbQ,49,dense_two_very_strong_preserved_tokens,,aber; bei; wem,1.000,1.000,Aber... Wo? Bei wem?,Aber... Wo? Bei wem?
MIDDLE,lore_event_tab_a_sanctus__K4ZC,49,dense_two_very_strong_preserved_tokens,,laudetur; jesus; christus,0.500,0.500,"Ah, laudetur Jesus Christus! Here you are at last, I've been waiting for you!","Ah, laudetur Jesus Christus! Here you are at last, I've been waiting for you!"
MIDDLE,o_zi_prokop_el_zum_andere_7jrw,49,dense_three_strong_preserved_tokens; english_reference_differs,,andererseits; deinem; gesicht,0.333,0.500,"Andererseits with a gonne from me, you can be sure it will not go off im deinem Gesicht!","!P Zum anderen, with a rifle from me, you'll be sure it won't go off im Gesicht"
MIDDLE,ui_reditel_v_seq163_Eu7b,49,dense_two_very_strong_preserved_tokens,,announcement; winner; round,1.000,1.000,announcement of the winner - 1st round 1:0,announcement of the winner - 1st round 1:0
MIDDLE,ui_reditel_v_seq180_549J,49,dense_two_very_strong_preserved_tokens,,announcing; winner; it's,1.000,1.000,"announcing the winner, it's 1:1","announcing the winner, it's 1:1"
MIDDLE,diva_divak_kom_a_dalsi_do_CY63,49,dense_two_very_strong_preserved_tokens,,another; one; down,1.000,1.000,Another one down!,Another one down!
MIDDLE,chat_ptacek_audentes_fort_vocC,49,dense_two_very_strong_preserved_tokens,,audentes; fortuna; iuvat,1.000,1.000,Audentes fortuna iuvat!,Audentes fortuna iuvat!
MIDDLE,prvn_henry_audentes_fortu_9pX4,49,dense_two_very_strong_preserved_tokens,,audentes; fortuna; iuvat,1.000,1.000,Audentes fortuna iuvat!,Audentes fortuna iuvat!
MIDDLE,ptac_ptacek_audentes_fort_iF6X,49,dense_two_very_strong_preserved_tokens,,audentes; fortuna; iuvat,1.000,1.000,Audentes Fortuna Iuvat!,Audentes Fortuna Iuvat!
MIDDLE,chat_henry_audentes_fortu_MmbY,49,dense_two_very_strong_preserved_tokens,,audentes; fortuna; iuvat,0.750,0.750,"Audentes fortuna iuvat, remember?","Audentes fortuna iuvat, remember?"
MIDDLE,ui_chat_s_pt_seq5_Rgew,49,dense_two_very_strong_preserved_tokens,,audentes; fortuna; iuvat,1.000,1.000,Audentes fortuna iuvat...,Audentes fortuna iuvat...
MIDDLE,prvn_ptacek_jesteze_tys_m_4jdV,49,dense_two_very_strong_preserved_tokens,,audentes; fortuna; iuvat,1.000,1.000,Audentes fortuna iuvat?,Audentes fortuna iuvat?
BOTTOM,ui_podkoni_t_seq3_nbWU,21,short_line_very_strong_preservation,,tarant,1.000,1.000,Tarant,Tarant
BOTTOM,tara_taras_mura_taras_to__alRh,21,short_line_very_strong_preservation,,taras,0.500,0.500,Taras will find it…,Taras will find it…
BOTTOM,ui_combo_tea_nauc_me_back_GuwR,21,short_line_very_strong_preservation,,durchlauffen,0.500,0.500,Teach me: Durchlauffen,Teach me: Durchlauffen
BOTTOM,ui_podkoni___seq40_1_mZOe,21,short_line_very_strong_preservation,,veillantif,1.000,1.000,Veillantif.,Veillantif.
BOTTOM,ui_s_musou_o_seq10_avM9,21,short_line_very_strong_preservation,,chovgan,1.000,1.000,What is chovgan?,What is chovgan?
BOTTOM,ui_vecere_u__pork_CFEf,21,short_line_very_strong_preservation,,porchetta,1.000,1.000,What is porchetta?,What is porchetta?
BOTTOM,obec_henry_gejza_GtMu,21,short_line_very_strong_preservation,,gejza,0.500,0.500,What was Gejza like?,What was Gejza like?
BOTTOM,se_s_henry_co_je_to_pogro_8SOu,21,short_line_very_strong_preservation,,gzeyre,0.500,0.500,What's a gzeyre?,What's a gzeyre?
BOTTOM,ui_se_samem__seq7_l3t0,21,short_line_very_strong_preservation,,gzeyre,0.500,0.500,What's a gzeyre?,What's a gzeyre?
BOTTOM,ui_hrac_pomu_seq21_TR2U,21,short_line_very_strong_preservation,,roman,0.333,0.333,What's Roman like?,What's Roman like?
BOTTOM,kde__henry_morticius_je_m_Ys4x,21,short_line_very_strong_preservation,,morticius,0.500,0.500,What? Morticius is dead?,What? Morticius is dead?
BOTTOM,kde__henry_morticius_je_m_xBCq,21,short_line_very_strong_preservation,,morticius,0.500,0.500,What? Morticius is dead?,What? Morticius is dead?
BOTTOM,ui_include_d_seq6_1CLx,21,short_line_very_strong_preservation,,hanka,0.500,0.500,Where is Hanka now?,Where is Hanka now?
BOTTOM,pisa_henry_reginu_BItF,21,short_line_very_strong_preservation,,regina,1.000,1.000,Where is Regina?,Where is Regina?
BOTTOM,ui_otazky_o__seq3_kTmx,21,short_line_very_strong_preservation,,ludolf,1.000,1.000,Who is Ludolf?,Who is Ludolf?
BOTTOM,ui_polylog_s_seq15_CWa7,21,short_line_very_strong_preservation,,ludolf,1.000,1.000,Who is Ludolf?,Who is Ludolf?
BOTTOM,miko_henry_kdo_je_bibrek_08kv,21,short_line_very_strong_preservation,,bibrek,1.000,1.000,Who is that Bibrek?,Who is that Bibrek?
BOTTOM,ui_vykradaci_seq17_z6So,21,short_line_very_strong_preservation,,lenek,1.000,1.000,Who is this Lenek?,Who is this Lenek?
BOTTOM,vykr_henry_co_je_ten_lene_8n4i,21,short_line_very_strong_preservation,,lenek,1.000,1.000,Who is this Lenek?,Who is this Lenek?
BOTTOM,dial_henry_dbry_jo_chlapy_rhmK,21,short_line_very_strong_preservation,,morgenstern,1.000,1.000,Who is this Morgenstern?,Who is this Morgenstern?
BOTTOM,incl_henry_kdo_je_hanka_pS85,21,short_line_very_strong_preservation,,hanka,0.500,0.500,Who's Hanka?,Who's Hanka?
BOTTOM,ui_include_d_seq19_i42n,21,short_line_very_strong_preservation,,hanka,0.500,0.500,Who's Hanka?,Who's Hanka?
BOTTOM,ui_kozina__i_seq36_jucf,21,short_line_very_strong_preservation,,samuel,0.500,0.500,Who's Samuel?,Who's Samuel?
BOTTOM,ui_kozina__i_seq81_tmVS,21,short_line_very_strong_preservation,,samuel,0.500,0.500,Who's Samuel?,Who's Samuel?
BOTTOM,incl_henry_jaka_hanka_iUo6,21,short_line_very_strong_preservation,,hanka,0.333,0.333,Who's this Hanka woman?,Who's this Hanka woman?
BOTTOM,ui_include_d_seq18_Er0t,21,short_line_very_strong_preservation,,hanka,0.333,0.333,Who's this Hanka woman?,Who's this Hanka woman?
BOTTOM,poly_henry_kdo_je_alberich_PIoU,21,short_line_very_strong_preservation,,ludolf,0.500,0.500,Who’s Ludolf?,Who’s Ludolf?
BOTTOM,bibr_henry_kdo_je_mik_Zegt,21,short_line_very_strong_preservation,,mik,0.500,0.500,Who’s this Mik?,Who’s this Mik?
BOTTOM,ui_podkoni_t_seq40_HuBk,21,short_line_very_strong_preservation,,windwurf,1.000,1.000,Windwurf.,Windwurf.
BOTTOM,verb_henry_ty_jses_ras_wo_87g4,21,short_line_very_strong_preservation,,wolfram,0.333,0.333,You're Wolfram the knacker?,You're Wolfram the knacker?
BOTTOM,ui_reakce_na_seq3_kSRi,20,short_line_very_strong_preservation,,linhart,0.500,0.500,Linhart the cobbler,Linhart the cobbler
BOTTOM,ui_reakce_na_seq15_DdkR,20,short_line_very_strong_preservation,,otto,0.500,0.500,Odorous Otto,Odorous Otto
BOTTOM,ui_reakce_na_seq15_xUvd,20,short_line_very_strong_preservation,,otto,0.500,0.500,Odorous Otto,Odorous Otto
BOTTOM,ui_reditel_v_seq60_teXl,20,short_line_very_strong_preservation,,otto,0.500,0.500,Odorous Otto,Odorous Otto
BOTTOM,ui_reakce_na_seq5_PMwk,20,short_line_very_strong_preservation,,peter,0.500,0.500,Peter Shutup,Peter Shutup
BOTTOM,ui_reakce_na_seq5_UHT4,20,short_line_very_strong_preservation,,peter,0.500,0.500,Peter Shutup,Peter Shutup
BOTTOM,ui_reakce_na_seq19_4hk8,20,short_line_very_strong_preservation,,shimek,0.500,0.500,Shimek the Maw,Shimek the Maw
BOTTOM,ui_reakce_na_seq19_qOMI,20,short_line_very_strong_preservation,,shimek,0.500,0.500,Shimek the Maw,Shimek the Maw
BOTTOM,ui_reditel_v_seq72_rxi9,20,short_line_very_strong_preservation,,shimek,0.500,0.500,Shimek the Maw,Shimek the Maw
BOTTOM,plan_jan_zizka_a_jeste_ne_poAJ,18,signal_support_plus_strong_preservation; signal_support,czech; slovak,suchdol,0.000,0.077,"And another thing! The Devil's Den is no longer safe, so after the attack, we'll pull back to Suchdol Fortress.","And another thing! The Devil's Den is no longer safe, so after the attack, we'll pull back to Suchdol Fortress."
BOTTOM,sam__henry_mozna_se_pred__K4Jl,18,signal_support_plus_strong_preservation; signal_support,czech; slovak,zizka,0.000,0.111,I'll go back to the Devil's Den to Zizka and the others. We need to figure out what to do next.,I'll go back to the Devil's Den to Zizka and the others. We need to figure out what to do next.
BOTTOM,jan__henry_ze_si_to_farka_6ADA,18,signal_support_plus_strong_preservation; signal_support,hungarian,farkas,0.000,0.167,That Farkas is already burning in hell. I sent him there myself.,That Farkas is already burning in hell. I sent him there myself.
BOTTOM,sam__sara_samo_dalo_by_se_ThiK,18,signal_support_plus_strong_preservation; signal_support,yiddish_hebrew,martin,0.000,0.067,The rabbi gathered the goodmen so they could decide whether we wanted to have a goy blacksmith. And Martin wouldn't stop looking at me all night!,The rabbi gathered the goodmen so they could decide whether we wanted to have a goy blacksmith. And Martin wouldn't stop looking at me all night!
BOTTOM,samu_samuel_he__no_to_je__HKd3,17,signal_support_plus_strong_preservation; signal_support,yiddish_hebrew,goy,0.000,0.167,Heh heh… good one! A goy lecturing a Jew on Hebrew!,Heh heh… good one! A goy lecturing a Jew on hebrew!
BOTTOM,forc_musa_z_ma_kazde_stvo_qIML,16,signal_support_plus_strong_preservation; signal_support,arabic,allah,0.000,0.100,"Every creature is beautiful and noble, for Allah created them thus! I am just admiring his work.","Every creature is beautiful and noble, for Allah created them thus! I am just admiring his work."
BOTTOM,npc__npc_prezi_fuj_uz_jse_Ao6r,16,signal_support_plus_strong_preservation; signal_support,german,fuj,0.000,0.200,Fuj… I thought my gut was going to burst.,Fuj… I thought my gut was going to burst.
BOTTOM,samu_samuel_to_bych_bejt__4CYG,16,signal_support_plus_strong_preservation; signal_support,yiddish_hebrew,goyim,0.000,0.250,Goyim rarely wander in here with good intentions.,Goyim rarely wander in here with good intentions.
BOTTOM,ui_samuel__h_seq9_TybK,16,signal_support_plus_strong_preservation; signal_support,yiddish_hebrew,goy,0.000,0.500,I know what a goy is.,I know what a goy is.
BOTTOM,cust_henry_nic_nevim__boh_il5S,16,signal_support_plus_strong_preservation; signal_support,german,erik,0.000,0.111,"I'll kill you. And your Erik will have to watch. And as soon as I'm finished with you, I'll gut him as well.","I'll kill you. And your Erik will have to watch. And as soon as I'm finished with you, I'll gut him as well."
BOTTOM,s_bo_henry_takze_bysme_me_4jZA,16,signal_support_plus_strong_preservation; signal_support,yiddish_hebrew,samuel,0.000,0.125,So we should take Samuel to Kolin as soon as possible so the rabbi can take care of it.,So we should take Samuel to Kolin as soon as possible so the rabbi can take care of it.
