representative_key,family_size,source_score,signal_languages,strong_preserved_tokens,very_strong_content_ratio,strong_content_ratio,English_display,English_reference,translation_status,source_language,verified_meaning,notes
goss_lapka_mlu_a_vubec_se_eGB2,1,101,hungarian,meg; különben; nem; vagy; egy; kicsit; elkényeztetve,1.000,1.000,"Meg különben is, nem vagy te egy kicsit elkényeztetve?","Meg különben is, nem vagy te egy kicsit elkényeztetve?",NEEDS_TRANSLATION,,,
rozh_sedlaci_m_to_nevim_m_RxCl,1,101,czech,přátelí; marta; vod; kováře; mohla; vědět; kde,1.000,1.000,"Přátelí se s ní Marta vod kováře. Ta by mohla vědět, kde je.",,NEEDS_TRANSLATION,,,
menh_menhart_z_takhle_me__5bQQ,1,101,german,muss; mich; duellieren; anderen; guten; ruf; mein; recht,0.500,0.800,That is why I muss mich duellieren with Nikolas and the anderen! To defend my guten Ruf and mein Recht.,!P That is why I muss Duell with Nikolas and the anderen! To defend my gute Name and mein Recht.,NEEDS_TRANSLATION,,,
s_el_puskar_el_aber_was_s_9PSP,1,100,german,aber; soll; ich; tun; bist; keine; konkurrenz,0.700,0.700,"Aber was soll ich tun? You will struggle to compete with me anyway, du bist keine Konkurrenz!","Aber was soll ich tun? You will struggle to compete with me anyway, du bist keine Konkurrenz!",NEEDS_TRANSLATION,,,
zakl_henry_ave_maria_grat_EYO6,1,100,latin,ave; maria; gratia; plena; dominus; tecum; benedicta,0.875,0.875,"Ave, Maria, gratia plena, Dominus tecum, Benedicta... err...","Ave, Maria, gratia plena, Dominus tecum, Benedicta... err...",NEEDS_TRANSLATION,,,
nicl_rytir_nic_benedicta__XngN,1,100,latin,benedicta; mulieribus; benedictus; fructus; ventris; tui; jesus,1.000,1.000,"Benedicta tu in mulieribus, et benedictus fructus ventris tui Jesus.","Benedicta tu in mulieribus, et benedictus fructus ventris tui Jesus.",NEEDS_TRANSLATION,,,
vyhe_dlc2_stre_bis_bald_m_JCkF,1,100,german,bis; bald; mein; freund; gott; segne; dich,1.000,1.000,"Bis bald, mein Freund! Gott segne dich.","Bis bald, mein Freund! Gott segne dich.",NEEDS_TRANSLATION,,,
arne_arne_nemec_fick_dich_eNNB,1,100,german,fick; dich; verstehst; verdammt; noch; mal; nichts,1.000,1.000,Fick dich! Du verstehst verdammt noch mal nichts!,Fick dich! Du verstehst verdammt noch mal nichts!,NEEDS_TRANSLATION,,,
menh_menhart_z_hey_das_wa_LglQ,1,100,german,hey; das; war; gut; habe; ich; gesagt,1.000,1.000,"Hey, das war gut! Was habe ich gesagt?","Hey, das war gut! Was habe ich gesagt?",NEEDS_TRANSLATION,,,
opil_opily_kum_ahoj_hB8Z,1,100,hungarian,mit; csináljunk; nem; mehetünk; vissza; abba; fogadóba,1.000,1.000,Mit csináljunk? Nem mehetünk vissza abba a fogadóba.,Mit csináljunk? Nem mehetünk vissza abba a fogadóba.,NEEDS_TRANSLATION,,,
goss_uhersky_v_to_uz_mne__u3s5,1,100,,even; don't; believe; now; thought; could; count,1.000,1.000,So even you don't believe me now? I thought I could count on you…,So even you don't believe me now? I thought I could count on you…,NEEDS_TRANSLATION,,,
goss_lapka_mlu_takze_se_m_3zWl,1,100,,szóval; még; egyszer; megkérdezed; feldugom; kardom; seggedbe,1.000,1.000,"Szóval ha még egyszer megkérdezed, feldugom a kardom a seggedbe!","Szóval ha még egyszer megkérdezed, feldugom a kardom a seggedbe!",NEEDS_TRANSLATION,,,
ulri_event_tab_auf_wieder_RPlA,1,100,german,wie; auch; immer; auf; wiedersehen; mein; freund,1.000,1.000,"Wie auch immer, auf Wiedersehen, mein Freund.","Wie auch immer, auf Wiedersehen, mein Freund.",NEEDS_TRANSLATION,,,
nepr_nepritel__bastard_br_1Ctg,1,99,,schweinehund; bastard; brate; der; hölle; böser; mensch,1.000,1.000,"!P Schweinehund! Bastard! Brate in der Hölle, du böser Mensch!","!P Schweinehund! Bastard! Brate in der Hölle, du böser Mensch!",NEEDS_TRANSLATION,,,
refu_pogrom_re__adonay_hu_VaWt,1,99,,adonoy; nakhaloso; ve-yonuakh; mishkovo; be-sholem; ve-nomar; omen,1.000,1.000,"... Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.","... Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.",NEEDS_TRANSLATION,,,
refu_pogrom_re__adonay_hu_c8Wy,1,99,,adonoy; nakhaloso; ve-yonuakh; mishkovo; be-sholem; ve-nomar; omen,1.000,1.000,"Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.","Adonoy hu nakhaloso, ve-yonuakh al mishkovo be-sholem, ve-nomar omen.",NEEDS_TRANSLATION,,,
goss_uhersky_v_slysel_jse_JHXU,1,99,,azt; hallottam; hogy; megint; durva; balhé; készül,1.000,1.000,"Azt hallottam, hogy megint durva balhé készül.","Azt hallottam, hogy megint durva balhé készül.",NEEDS_TRANSLATION,,,
o_zi_hejtman_f_jo_presne__cnth,1,99,czech; german; slovak,das; trifft; den; nagel; auf; kopf,1.000,1.000,Das trifft den Nagel auf den Kopf …,"!P Ja, genau das ist es...",NEEDS_TRANSLATION,,,
goss_lapka_mlu_zatimco_z__Swvp,1,99,,belőled; aztán; biztos; apátot; csináltak; volna; gyönyörűség,1.000,1.000,"De belőled aztán biztos apátot csináltak volna, te gyönyörűség.","De belőled aztán biztos apátot csináltak volna, te gyönyörűség.",NEEDS_TRANSLATION,,,
zada_kradene_z_nun_das_is_NmVw,1,99,german,gut; das; ist; kein; problem; junger; mann,0.583,0.583,"Gut, das ist kein Problem. I am glad you are not rushing headlong into everything, junger Mann.","Gut, das ist kein Problem. I am glad you are not rushing headlong into everything, junger Mann.",NEEDS_TRANSLATION,,,
zada_cechmistr_gut_das_is_3QPA,1,99,german,gut; das; ist; kein; problem; junger; mann,0.467,0.467,"Gut, das ist kein Problem. I’m glad you’re not throwing yourself into everything headfirst, junger Mann.","Gut, das ist kein Problem. I’m glad you’re not throwing yourself into everything headfirst, junger Mann.",NEEDS_TRANSLATION,,,
menh_arne_nemec_ja_ja_fal_Xtmu,1,99,german,greifen; under; arme; ein; einfacher; kleiner; einbruch,0.600,0.700,"Heinrich will greifen us under Arme, ein einfacher kleiner Einbruch and we will beat them in their own game.","!P Heinrich will give us ein Hand, ein klein und einfach Einbruch and we will beat them in their own game.",NEEDS_TRANSLATION,,,
rezy_else_ich_werde_diese_Lj8n,1,99,german,ich; werde; diesem; dummkopf; sicher; nicht; helfen,1.000,1.000,Ich werde diesem Dummkopf sicher nicht helfen!,Ich werde diesem Dummkopf sicher nicht helfen!,NEEDS_TRANSLATION,,,
varo_pogrom_hl_zachrante__0cMR,1,99,,lomir; alts; fargesn; rinen; dos; pikeyekh; neyfesh,1.000,1.000,"Lomir alts fargesn un rinen, dos iz pikeyekh neyfesh!","Lomir alts fargesn un rinen, dos iz pikeyekh neyfesh!",NEEDS_TRANSLATION,,,
kost_kostky_st_mal_sehen__QfCy,1,99,,mal; sehen; wer; heute; abend; glück; hat,1.000,1.000,"Mal sehen, wer heute Abend Glück hat.","Mal sehen, wer heute Abend Glück hat.",NEEDS_TRANSLATION,,,
goss_uhersky_v_ale_stejne_dq1A,1,99,,mindegy; grozav; meg; katz; úgyis; szarnak; fejére,1.000,1.000,"Mindegy, Grozav meg Katz úgyis szarnak a fejére.","Mindegy, Grozav meg Katz úgyis szarnak a fejére.",NEEDS_TRANSLATION,,,
goss_lapka_mlu_uz_zas_dyt_B5f6,1,99,,már; megint; dejszen; egész; mostanáig; húztad; lóbőrt,1.000,1.000,Már megint? Dejszen egész mostanáig húztad a lóbőrt!,Már megint? Dejszen egész mostanáig húztad a lóbőrt!,NEEDS_TRANSLATION,,,
turn_kutnohors_nic_moc_ch_TnuL,1,99,,nic; moc; chlapy; naší; ulice; uměj; líp,1.000,1.000,Nic moc! Chlapy z naší ulice to uměj líp!,,NEEDS_TRANSLATION,,,
lapk_lapka_v_r_radsi_se_h_8sLo,1,99,,radši; hned; votoč; táhni; vodkud; přišel; dědku,1.000,1.000,"Radši se hned votoč a táhni vodkud si přišel, dědku!",,NEEDS_TRANSLATION,,,
spec_menhart_z_wie_auch_i_SCsi,1,99,german,wie; auch; immer; die; erste; lektion; ist,0.438,0.438,"Wie auch immer, die erste Lektion ist: in battle, the deciding factor tends to be skill. But more often than that, it is luck.","Wie auch immer, die erste Lektion ist: in battle, the deciding factor tends to be  skill. But more often than that, it is luck.",NEEDS_TRANSLATION,,,
varo_pogrom_hl_jdou_na_na_a6ka,1,99,,zey; kumen; lomir; shnel; tsu; shul; loyfn,1.000,1.000,Zey kumen! Lomir shnel tsu shul loyfn!,Zey kumen! Lomir shnel tsu shul loyfn!,NEEDS_TRANSLATION,,,
goss_uhersky_v_armin_a_gy_XWXJ,1,99,,ármin; meg; gysel; ott; voltak; mindent; tanúsítanak,1.000,1.000,"Ármin meg Gysel ott voltak, ők mindent tanúsítanak...","Ármin meg Gysel ott voltak, ők mindent tanúsítanak...",NEEDS_TRANSLATION,,,
goss_uhersky_v_vidim_to_s_nDhW,1,99,,így; vagyok; vele; hónap; végéig; aztán; annyi,1.000,1.000,"Én is így vagyok vele. A hónap végéig, aztán annyi.","Én is így vagyok vele. A hónap végéig, aztán annyi.",NEEDS_TRANSLATION,,,
stre_strelnice_a_zase_do__gX3h,1,99,,újra; közepibe; még; csak; meg; erőltetem; magam,1.000,1.000,És újra a közepibe! Még csak meg se erőltetem magam!,És újra a közepibe! Még csak meg se erőltetem magam!,NEEDS_TRANSLATION,,,
pric_zikmund_l_at_hned_se_AW3Q,1,98,,azonnal; gyűjtsék; össze; legjobb; katonáikat; keljenek; útra,1.000,1.000,Azonnal gyűjtsék össze a legjobb katonáikat és keljenek útra!,Azonnal gyűjtsék össze a legjobb katonáikat és keljenek útra!,NEEDS_TRANSLATION,,,
cin__opat_jan__cum_filio__XbFt,1,98,,cum; fílio; tuo; spíritu; sancto; sǽcula; sæculórum,1.000,1.000,"cum Fílio tuo et Spíritu Sancto, in sǽcula sæculórum","cum Fílio tuo et Spíritu Sancto, in sǽcula sæculórum",NEEDS_TRANSLATION,,,
sest_stalker_stacilo_ti_t_JkRL,1,98,,elég; volt; vagy; kérsz; még; egy; kicsit,1.000,1.000,"Elég volt, vagy kérsz még egy kicsit?","Elég volt, vagy kérsz még egy kicsit?",NEEDS_TRANSLATION,,,
kuma_spizovaci_myslis_ze__gAG7,1,98,,gondolod; hogy; fel; fogja; gyújtani; ezt; helyet,1.000,1.000,"Gondolod, hogy fel fogja gyújtani ezt a helyet?","Gondolod, hogy fel fogja gyújtani ezt a helyet?",NEEDS_TRANSLATION,,,
dial_vasko_hallod_jindra__cq8G,1,98,,hallod; meg; akarja; szerezni; neked; azt; nőt,1.000,1.000,Hallod? Henry meg akarja szerezni neked azt a nőt!,Hallod? Henry meg akarja szerezni neked azt a nőt!,NEEDS_TRANSLATION,,,
prat_pratelsky_ich_will_d_cGkA,1,98,german; polish; slovak,ich; dich; nie; wieder; hier; sehen,1.000,1.000,Ich will dich nie wieder hier sehen.,!P Ich will dich nie wieder hier sehen.,NEEDS_TRANSLATION,,,
menh_menhart_z_nekdo_sice_x9wd,1,98,german,augsburg; nürnberg; bessere; meister; aber; bruderschaft; die; besten,0.364,0.727,"Some say that in Augsburg or Nürnberg there are bessere Meister, aber … they cannot match our Bruderschaft. They are good, but we are die Besten!","Some say that in Augsburg or Nürnberg there are bessere Meister, aber... they cannot match our Bruderschaft. They are good, but we are die Besten!",NEEDS_TRANSLATION,,,
sest_stalker_a_ted_vypadn_zEKF,1,98,,most; húzz; innen; vagy; kaphatsz; még; tűnés,1.000,1.000,"És most húzz el innen, vagy kaphatsz még! Tűnés!","És most húzz el innen, vagy kaphatsz még! Tűnés!",NEEDS_TRANSLATION,,,
kuma_spizovaci_dobre_jim__KwG0,1,98,,úgy; kell; nekik; amúgy; egy; áruló; csőcselék,1.000,1.000,Úgy kell nekik. Amúgy is egy áruló csőcselék ez.,Úgy kell nekik. Amúgy is egy áruló csőcselék ez.,NEEDS_TRANSLATION,,,
o_zi_kupec_tro_eh_jenze_v_p7M1,1,97,german,herr; otto; ulrich; ach; lassen; wir; das,0.385,0.538,"Eh, but Herr Otto spends more time in Prague than here, and Chamberlain Ulrich…  Ach, lassen wir das.","!P Eh, but Herr Otto spends more time in Prague than here, and Chamberlain Ulrich… Das ist unnötig.",NEEDS_TRANSLATION,,,
rozl_rozloucen_gott_sei_m_PXzA,1,96,german; hungarian,gott; sei; mit; dir; mein; herr,1.000,1.000,"Gott sei mit dir, mein Herr.","!P Gott sei mit Euch, mein Herr.",NEEDS_TRANSLATION,,,
band_bandita_u_leg_dich_n_0GX0,1,96,german; hungarian,leg; dich; nicht; mit; mir; pisser,1.000,1.000,"Leg dich nicht mit mir an, du Pisser!","!P Leg dich nicht mit mir an, du Schlampe!",NEEDS_TRANSLATION,,,
gree_pozdrav_m_gru_dich_e_K9Ls,1,96,german; hungarian,mann; ist; denn; mit; dir; los,1.000,1.000,"Mann, was ist denn mit dir los?","Was ist los, Mann?",NEEDS_TRANSLATION,,,
uvod_puskar_el_na_ja_aber_BqSb,1,96,german,aber; mein; bentlik; ist; tot; komm; pushko,0.500,0.700,"Na ja. Aber mein Bentlik ist tot! Komm, we must talk to Pushko too!","Na ja. Aber mein Bentlik ist Tod! Komm, we must talk to Pushko too!",NEEDS_TRANSLATION,,,
goss_uhersky_v__ja_chtel__JBzo,1,96,,wanted; rich; instead; all; i've; got; diarrhoea,1.000,1.000,… I wanted to get rich. But instead all I've got is diarrhoea.,… I wanted to get rich. But instead all I've got is diarrhoea.,NEEDS_TRANSLATION,,,
unik_aktivita__tohle_ale__4ABx,1,95,german,aber; das; ist; schlechte; arbeit; nein,0.500,0.500,"Aber… das ist schlechte Arbeit… shoddy work! I cannot show off this… I will not take, nein, nein...","!P Aber… das ist schlechte Arbeit… shoddy work! I cannot show off this… I will not take, nein, nein...",NEEDS_TRANSLATION,,,
s_bo_henry_et_ne_nos_indu_TpIM,1,95,czech,nos; inducas; tentationem; sed; libera; malo,1.000,1.000,"Et ne nos inducas in tentationem, sed libera nos a malo.","!P Et ne nos inducas in tentationem, sed libera nos a malo.",NEEDS_TRANSLATION,,,
unik_aktivita__no_tak_asi_ICWu,1,95,german,meister; mannlicher; eichner; auf; wiedersehen; schmied,0.750,0.750,"I go and see Meister Mannlicher, then… or Meister Eichner? Eh… Auf Wiedersehen, Schmied.","!P I go and see Meister Mannlicher, then… or Meister Eichner? Eh… Auf Wiedersehen, Schmied.",NEEDS_TRANSLATION,,,
posl_event_hla_ja_das_ist_XL3j,1,95,german,das; ist; richtig; jeder; sollte; hören,1.000,1.000,"Ja, das ist richtig! Jeder sollte das hören!","!P Ja, das ist richtig! Lass es einfach jeden hören!",NEEDS_TRANSLATION,,,
dial_po_souboj_ja_ja_natu_Ducc,1,95,german,natürlich; ich; habe; noch; eine; verabredung,0.750,0.750,"Ja, ja, natürlich. But I have to leave early, ich habe noch eine … Verabredung.","Ja ja, natürlich. But I have to leave early, Ich habe ein... Treffen.",NEEDS_TRANSLATION,,,
lore_event_tab_ja_ja_ich__aUMt,1,95,german,ich; bin; tuchhändler; kann; sie; endlich,0.400,0.400,"Ja. Ich bin Tuchhändler, ehh, a cloth merchant. But all my father left me was debt. Now kann ich sie endlich fix that for good.","Ja, ja. Ich bin Tuchhändler, errm, a cloth merchant. But all my father left me was debt. Now I've got eine gute Chance to fix that for good.",NEEDS_TRANSLATION,,,
gree_pozdrav_n_mein_gott__6zln,1,95,german,mein; gott; stinkst; ziemlich; weisst; das,1.000,1.000,"Mein Gott ... Du stinkst ziemlich, weißt du das, Heinrich?","!P Mein Gott... Du stinkst ziemlich, weißt du das, Heinrich?",NEEDS_TRANSLATION,,,
menh_menhart_z_tam_na_roh_VFoM,1,95,german,badehaus; herr; adam; die; fechthalle; burg; burgenstrasse,0.333,0.467,"There, on the corner is the Badehaus of Herr Adam. Die Fechthalle, the swordfighting hall is behind it, opposite the small Burg on the Burgenstrasse... Hradek Quarter.","!P There, on the corner is Badhaus, Herr Adam. Turnhalle, the swordfighting hall is behind it, opposite the small Burg on the Burgenstrasse, Hradecka street.",NEEDS_TRANSLATION,,,
prat_pratelsky_was_machst_Lt8X,1,95,german,warum; sitzt; auf; meinem; pferd; arschloch,1.000,1.000,"Warum sitzt du auf meinem Pferd, du Arschloch?","!P Warum sitzt du auf meinem Pferd, du Arschloch?",NEEDS_TRANSLATION,,,
comb_hejtman_f_wenn_sie_a_sduY,1,95,german,wenn; wirklich; interesse; hast; sagst; dazu,0.462,0.462,"Wenn du wirklich Interesse hast, I'll show you one of my favourite blows with a mace to the chin, was sagst du dazu?","!P Wenn Sie also interessiert sind, I'll show you one of my favourite blows with a mace to the chin, was meinen Sie?",NEEDS_TRANSLATION,,,
o_zi_hejtman_f_pche_coze__QZ90,1,95,czech; slovak,wie; bitte; hast; den; verstand; verloren,0.667,0.667,"Wie bitte? Hast du den Verstand verloren? You can forget about that, you won't get in there!","!P Ah, was? Sind Sie verruckt? You can forget about that, you won't get in there!",NEEDS_TRANSLATION,,,
situ_situace_m_ich_habe_n_72P7,1,94,german,aber; ich; habe; doch; nichts; getan,1.000,1.000,Aber ich habe doch nichts getan!,Ich habe nichts getan!,NEEDS_TRANSLATION,,,
hosp_hospodska_das_sieht__ANUB,1,94,german,das; sieht; gar; nicht; schlimm; aus,1.000,1.000,Das sieht gar nicht so schlimm aus …,!P Das sieht gar nicht so schlimm aus...,NEEDS_TRANSLATION,,,
prat_pratelsky_das_wird_d_lRDg,1,94,german,das; wird; dir; noch; leidtun; mistkerl,1.000,1.000,"Das wird dir noch leidtun, du Mistkerl!","!P Das wird dir noch leidtun, du Mistkerl!",NEEDS_TRANSLATION,,,
smlo_smlouvani_heh_du_ver_ery3,1,94,german,verkaufst; mir; ganz; schön; zwielichtiges; zeug,1.000,1.000,Du verkaufst mir ganz schön zwielichtiges Zeug.,"!P Heh, du verkaufst mir ein schönes Schwarz.",NEEDS_TRANSLATION,,,
laze_lazebnice_das_ist_al_Z4d0,1,94,german,fertig; das; ist; alles; mein; freund,1.000,1.000,"Fertig! Das ist alles, mein Freund.","Geschehen! Das ist alles, mein Freund.",NEEDS_TRANSLATION,,,
gree_pozdrav_z_gru_gott_w_FxYm,1,94,german,grüss; gott; brauchen; sie; mein; herr,1.000,1.000,"Grüß Gott! Was brauchen Sie, mein Herr?","!P Grüß Gott! Was du brauchst, mein Herr?",NEEDS_TRANSLATION,,,
laze_lazebnice_gut_das_wa_ozyZ,1,94,german,gut; das; wasser; ist; bereits; kalt,1.000,1.000,"Gut, das Wasser ist bereits kalt ...","Gut, das Wasser ist bereits kalt...",NEEDS_TRANSLATION,,,
laze_lazebnice_ich_finde__vKry,1,94,german,ich; hoffe; gefiel; dir; mein; herr,1.000,1.000,"Ich hoffe, es gefiel dir, mein Herr.","Ich finde es gut, mein Herr.",NEEDS_TRANSLATION,,,
zaka_zakaznik__ich_hatte__O5hP,1,94,german,ich; hätte; mein; fleisch; gern; durchgebraten,1.000,1.000,Ich hätte mein Fleisch gern durchgebraten!,Ich hätte mein Fleisch gern durch!,NEEDS_TRANSLATION,,,
npc__npc_vidi__ich_reiss__JfyH,1,94,german,ich; reiss; dir; deinen; arsch; auf,1.000,1.000,Ich reiß dir deinen Arsch auf!,!P Ich reiss dir das Gesicht ab!,NEEDS_TRANSLATION,,,
prat_pratelsky_ich_sage_e_dxjn,1,94,german,ich; sage; jetzt; zum; letzten; mal,1.000,1.000,Ich sage es jetzt zum letzten Mal ...,!P Ich sage es jetzt zum letzten Mal...,NEEDS_TRANSLATION,,,
neko_soldier_z_ich_schlag_7KpA,1,94,german,ich; schlage; dir; die; fresse; ein,1.000,1.000,Ich schlage dir die Fresse ein!,!P Ich schlage dir die Fresse ein!,NEEDS_TRANSLATION,,,
bark_soldier_n_jetzt_wird_GWI6,1,94,german,jetzt; wird; dir; der; arsch; versohlt,1.000,1.000,Jetzt wird dir der Arsch versohlt!,!P Jetzt wird dir der Arsch versohlt!,NEEDS_TRANSLATION,,,
endi_rozloucen_gott_das_r_Ik39,1,94,german,mein; gott; das; reicht; jetzt; schurke,1.000,1.000,"Mein Gott, das reicht jetzt, du Schurke.","!P Gott, das reicht jetzt, du Schurke.",NEEDS_TRANSLATION,,,
reak_soldier_k_mein_gott__CY7r,1,94,german,mein; gott; das; war; ein; kampf,1.000,1.000,"Mein Gott, das war ein Kampf.","!P Mein Gott, das war ein Kampf.",NEEDS_TRANSLATION,,,
reme_remeslnik_ich_kann_d_WP7p,1,94,german,mein; gott; ich; kann; nicht; mehr,1.000,1.000,"Mein Gott, ich kann nicht mehr.","!P Mein Gott, ich kann nicht mehr.",NEEDS_TRANSLATION,,,
gree_pozdrav_n_mein_gott__pqL5,1,94,german,mein; gott; siehst; furchtbar; aus; mann,1.000,1.000,"Mein Gott … Du siehst furchtbar aus, Mann!","!P Mein Gott... Du siehst furchtbar aus, Mann!",NEEDS_TRANSLATION,,,
rozl_louceni_p_nun_was_tu_HJ05,1,94,german,nun; tun; bis; bald; mein; herr,1.000,1.000,"Nun, was tun? Bis bald, mein Herr!","!P Nun, was tun? Bis bald, mein Herr!",NEEDS_TRANSLATION,,,
reak_soldier_k_eh_gott_se_d6Fs,1,94,german,gott; hab; dank; für; diesen; tag,1.000,1.000,"Oh, Gott, hab Dank für diesen Tag.","!P Eh, Gott sei Dank für diesen Tag.",NEEDS_TRANSLATION,,,
s_he_hejtman_s_k_certu_s__Gkh0,1,94,german; hungarian,zum; teufel; mit; dir; junger; mann,0.429,0.429,"Pff... Zum Teufel mit dir! Thinking only of yourself will come back and bite you one day, junger Mann!","!P Pff... Zum Teufel mit dir! Thinking only of yourself will come back and bite you one day, junger Mann!",NEEDS_TRANSLATION,,,
opon_soldier_v_scheisse_d_bLaC,1,94,german,scheisse; dafür; werde; ich; dich; umbringen,1.000,1.000,Scheiße! Dafür werde ich dich umbringen!,!P Scheisse! Dafür werde ich dich umbringen!,NEEDS_TRANSLATION,,,
nepr_soldier_n_scheisse_d_KaAf,1,94,german,scheisse; das; biest; hat; mich; gebissen,1.000,1.000,Scheiße! Das Biest hat mich gebissen!,!P Scheisse! Die Bestie hat mich gebissen!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_servus_und_BrQS,1,94,german,servus; dein; gestank; haut; mich; glatt,1.000,1.000,Servus ... Dein Gestank haut mich glatt um!,!P Servus... und ich fühle dich auch!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_verdammt_m_3hsn,1,94,german,verdammt; mann; bist; von; allen; sinnen,1.000,1.000,Verdammt Mann! Bist du von allen Sinnen?!,!P Verdammt Mann! Hast du keinen Sinn?!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_verdammt_m_hYyK,1,94,german,verdammt; bist; nicht; ganz; bei; sinnen,1.000,1.000,Verdammt! Bist du nicht ganz bei Sinnen?!,!P Verdammt Mann! Hast du keinen Sinn?!,NEEDS_TRANSLATION,,,
zaka_zakaznik__was_ist_lo_yaNG,1,94,german,ist; denn; los; ein; bier; bitte,1.000,1.000,"Was ist denn los? Ein Bier, bitte!",Was ist los? Ein bier bitte!,NEEDS_TRANSLATION,,,
gree_obchodnik_was_mochte_E9e2,1,94,german,kann; ich; dir; heute; morgen; anbieten,1.000,1.000,Was kann ich dir heute Morgen anbieten?,Was möchtest du morgens so?,NEEDS_TRANSLATION,,,
gree_obchodnik_was_suchen_3xnT,1,94,german,suchst; das; ist; kein; badehaus; dreckskerl,1.000,1.000,"Was suchst du? Das ist kein Badehaus, Dreckskerl!","Was suchen Sie? Das ist kein Spa, Dreckskerl!",NEEDS_TRANSLATION,,,
gree_obchodnik_was_soll_i_EY5I,1,94,german,wie; kann; ich; dir; säufer; helfen,1.000,1.000,Wie kann ich dir Säufer helfen?,"Was soll ich tun, betrunken?",NEEDS_TRANSLATION,,,
bark_soldier_n_wir_schlag_vt7q,1,94,german,wir; schlagen; dir; die; fresse; ein,1.000,1.000,Wir schlagen dir die Fresse ein!,!P Wir schlagen dir die Fresse ein!,NEEDS_TRANSLATION,,,
lore_event_tab_a_jiz_brzy_HrVF,1,93,latin,novit; enim; dominus; qui; sunt; eius,0.600,0.600,And soon our sins will be weighed and tallied. Novit enim Dominus qui sunt eius!,And soon our sins will be weighed and tallied ad finem temporis ante portam inferam!,NEEDS_TRANSLATION,,,
tahn_cikan_muz_s_ZWj6,1,93,,dja; paleh; dake; andre; mindj; khatar; avľal,0.750,0.875,"Dja paleh la dake andre mindj, khatar avľal! And do not come back!","Dja paleh la dake andre mindj, khatar avľal! And do not come back!",NEEDS_TRANSLATION,,,
frid_arne_nemec_slava_jin_EFjC,1,93,german,ehre; für; bis; zum; letzten; atemzug,1.000,1.000,Ehre für Heinrich! Bis zum letzten Atemzug!,!P Hail Heinrich! Bis zum letzten Atemzug!,NEEDS_TRANSLATION,,,
pruz_ptacek_ei_incumbit_p_EXeG,1,93,,incumbit; probatio; qui; dicit; non; negat,1.000,1.000,"Ei incumbit probatio, qui dicit, non qui negat.","!P Ei incumbit probatio, qui dicit, non qui negat.",NEEDS_TRANSLATION,,,
o_zi_hagen_tro_entschuldi_YoEJ,1,93,german,entschuldigung; mein; freund; herr; von; morgenstern,0.600,0.600,"Entschuldigung, mein Freund, but you'd better talk about that with Herr von Morgenstern.","!P Entschuldigung, mein Freund, but you'd better talk about that with mein Herr von Morgenstern.",NEEDS_TRANSLATION,,,
hrac_henry_ergo__bimbas___OO51,1,93,,ergo; bimbos; bib; bibamus; vole; pičo,1.000,1.000,Ergo… bimbos! No! Ergo bib… bibamus… ty vole… pičo!,"Ergo… bimbos! I mean, ergo bibamus… vole… pičo!",NEEDS_TRANSLATION,,,
zakl_hrac_fiat_voluntas_t_u3wt,1,93,,fiat; voluntas; tua; sicut; cælo; terra,1.000,1.000,"Fiat voluntas tua, sicut in cælo et in terra.","Fiat voluntas tua, sicut in cæloet in terra.",NEEDS_TRANSLATION,,,
o_zi_berta_fur_gutes_geld_89Yu,1,93,german,fürs; geld; oder; für; die; freude,1.000,1.000,Fürs Geld oder für die Freude,!P Fur gutes Geld oder aus gutem Grund.,NEEDS_TRANSLATION,,,
o_zi_hagen_tro_fur_gutes__3Sfa,1,93,german,fürs; geld; oder; für; die; freude,1.000,1.000,Fürs Geld oder für die Freude.,!P Fur gutes Geld oder aus gutem Grund.,NEEDS_TRANSLATION,,,
o_zi_berta_fur_gutes_geld_aU0Q,1,93,german,fürs; geld; oder; für; die; freude,0.750,0.750,Fürs Geld oder für die Freude: for money or for joy.,!P Fur gutes Geld oder aus gutem Grund: for good money or for a good reason.,NEEDS_TRANSLATION,,,
opti_hospodsky_jawohl_das_vXK4,1,93,german,ganz; recht; sie; ist; meine; schutzheilige,0.429,0.429,"Ganz recht, sie ist meine Schutzheilige. She's stood by me through thick and thin. And I haven't exactly treated her the best.","Jawohl, das ist meine Patronin. She's stood by me through thick and thin. And I haven't exactly treated her the best.",NEEDS_TRANSLATION,,,
gree_pozdrav_n_gruss_gott_2pj0,1,93,german,gott; zum; grusse; willst; von; mir,1.000,1.000,Gott zum Gruße! Was willst du von mir?,!P Grüss Gott! Was willst du von mir?,NEEDS_TRANSLATION,,,
o_zi_urso_von__tvuj_zajem_ooZV,1,93,german,ich; freue; mich; über; dein; interesse,0.545,0.545,"Ich freue mich über dein Interesse, but I don't know if it makes any sense?","!P Ich freue mich, dass Sie interessiert sind, but I don't know if it makes any sense?",NEEDS_TRANSLATION,,,
