"localization_key","speaker_context","original_display_text","foreign_fragment","source_language","verified_meaning","line_type","reference_source","test_status","notes"
"endi_rozloucen_o_del_tuha_r8NH","priority Romani/Yiddish sweep","!T O del tuha, goro!","","Romani","God be with you, non-Roma!","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"diva_divak_bar_mi_o_del_t_9wPn","priority Romani/Yiddish sweep","Mi o Del tuke pro droma sitinel.","","Romani","May God shine on your path.","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"prat_pratelsky__dzan_devl_JJQf","priority Romani/Yiddish sweep","Mi o del tuke pro droma sitinel.","","Romani","May God shine on your path.","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_m_so_rodes_AWtN","priority Romani/Yiddish sweep","So rodes, goro?","","Romani","What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_m_so_rodes_g_VjkY","priority Romani/Yiddish sweep","So rodes, goro?","","Romani","What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_z_so_rodes_XxR0","priority Romani/Yiddish sweep","So rodes, goro?","","Romani","What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_z_so_rodes_g_s1au","priority Romani/Yiddish sweep","So rodes, goro?","","Romani","What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_m_ziiiv_so_r_ULbg","priority Romani/Yiddish sweep","Yawn... So rodes, goro?","","Romani","Yawn... What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_z_ziiiv_so_r_Jvs7","priority Romani/Yiddish sweep","Yawn... So rodes, goro?","","Romani","Yawn... What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_obchodnik_bachtali_d_8igk","priority Romani/Yiddish sweep","Lacho djives! So rodes, goro?","","Romani","Good day! What are you looking for, non-Roma?","full","FTFL priority sweep; Slovak State Pedagogical Institute Romani phrase references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_m_oy_oy_v2N2","Mordecai/Yiddish greeting regression","Vos is los?","","Yiddish/German","What's wrong?","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_m_solem_vo_i_fVVI","Mordecai/Yiddish greeting regression","Oy, oy! Vos is los?","","Yiddish/German","Oh, oh! What's wrong?","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_z_oy_oy_vo_i_RvHK","Mordecai/Yiddish greeting regression","Oy, oy! Vos is los?","","Yiddish/German","Oh, oh! What's wrong?","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_m_vos_is_los_Wynd","Mordecai/Yiddish greeting regression","Vos is los?","","Yiddish/German","What's wrong?","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_pozdrav_z_vos_is_los_4Cmr","Mordecai/Yiddish greeting regression","Vos is los?","","Yiddish/German","What's wrong?","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_alej_41QQ","priority Romani/Yiddish sweep","Sholem aleykhem!","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_alej_fIyU","priority Romani/Yiddish sweep","Sholem aleykhem!","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"pozd_sousedsky_salom_alej_9iww","priority Romani/Yiddish sweep","Sholem aleykhem.","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"pozd_sousedsky_salom_alej_LrEq","priority Romani/Yiddish sweep","Sholem aleykhem!","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"pozd_sousedsky_salom_alej_Uyc5","priority Romani/Yiddish sweep","Sholem aleykhem...","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"pozd_sousedsky_salom_alej_hAS7","priority Romani/Yiddish sweep","Sholem aleykhem!","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"pozd_sousedsky_salom_alej_qDpW","priority Romani/Yiddish sweep","Sholem aleykhem!","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"priv_obchodnik_salom_alej_3IwV","priority Romani/Yiddish sweep","Sholem aleykhem!","","Yiddish/Hebrew","Peace be upon you.","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_alej_cSlX","priority Romani/Yiddish sweep","Sholem aleykhem, fraynd!","","Yiddish/Hebrew","Peace be upon you, friend!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_alej_qYnT","priority Romani/Yiddish sweep","Sholem aleykhem, fraynd!","","Yiddish/Hebrew","Peace be upon you, friend!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_alej_fKdq","priority Romani/Yiddish sweep","Sholem aleykhem, Henry!","","Yiddish/Hebrew","Peace be upon you, Henry!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_alej_yPBR","priority Romani/Yiddish sweep","Sholem aleykhem, Henry!","","Yiddish/Hebrew","Peace be upon you, Henry!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"samu_samuel_salom_alejche_6ncP","priority Romani/Yiddish sweep","Sholem aleykhem, Henry!","","Yiddish/Hebrew","Peace be upon you, Henry!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_jind_KlYq","priority Romani/Yiddish sweep","Sholem, Henry!","","Yiddish/Hebrew","Peace, Henry!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_jind_YSUv","priority Romani/Yiddish sweep","Sholem, Henry!","","Yiddish/Hebrew","Peace, Henry!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"samu_samuel_salom_jindro_Fz1P","priority Romani/Yiddish sweep","Sholem, Henry!","","Yiddish/Hebrew","Peace, Henry!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"endi_rozloucen_salom_u6Vx","priority Romani/Yiddish sweep","Sholem, mayn her!","","Yiddish/Hebrew","Peace, sir!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"gree_obchodnik_salom_KAfl","priority Romani/Yiddish sweep","Sholem…","","Yiddish/Hebrew","Hello...","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"pozd_npc_zdrav_shalom_NcxG","priority Romani/Yiddish sweep","Sholem!","","Yiddish/Hebrew","Hello!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"zjed_npc_zdrav_shalom_8tMf","priority Romani/Yiddish sweep","Sholem!","","Yiddish/Hebrew","Hello!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"priv_obchodnik_zaj_gezunt_2fIg","priority Romani/Yiddish sweep","Sholem!","","Yiddish/Hebrew","Hello!","full","FTFL priority sweep; Jewish English Lexicon/Yiddish lexical references","playtest","priority coverage pass; regression-targeted broad playtest"
"assa_pratelske_scheisse_I25T","source-driven translation batch 001","Scheiße!","","German","Shit!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"bff__hrac_pochvalen_bud_n_Nj1A","source-driven translation batch 001","Servus!","","German","Hello!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"chat_ptacek_audentes_fort_vocC","source-driven translation batch 001","Audentes fortuna iuvat!","","Latin","Fortune favors the bold!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"endi_rozloucen_auf_wieder_T6YC","source-driven translation batch 001","Auf Wiedersehen!","","German","Goodbye!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"endi_rozloucen_bis_bald_di7o","source-driven translation batch 001","Bis bald!","","German","See you soon!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"endi_rozloucen_zaj_gezunt_5XCA","source-driven translation batch 001","Zay gezunt!","","Yiddish","Be well!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"goss_gossip_na_och_BiC6","source-driven translation batch 001","Mein Gott!","","German","My God!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"goss_gossip_ob_masa_umata_kwzj","0.2.6 mandatory regression","Masa u-matan tov!","","Hebrew","Good business!","full","FTFL multilingual Rosetta context; Hebrew masa u-matan = negotiation/business dealings","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_obchodnic_was_willst_1SG8","source-driven translation batch 001","Was willst du?","","German","What do you want?","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"gree_obchodnik_was_ist_lo_AJJT","source-driven translation batch 001","Was ist los?","","German","What's wrong?","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"gree_pozdrav_m_aaah_laso__lX0g","0.2.6 mandatory regression","Ahh… Te del o Del lacho dives!","","Romani","Ahh... May God give you a good day!","full","FTFL multilingual Rosetta context; Romani phrase reference","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_pozdrav_m_gut_margn_h4P5","0.2.6 mandatory regression","Gut margn!","","Yiddish","Good morning!","full","FTFL multilingual Rosetta context; Yiddish linguistic review","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_pozdrav_m_guten_aben_Qxwg","source-driven translation batch 001","Guten Abend!","","German","Good evening!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"gree_pozdrav_m_kames_vare_GMEq","0.2.6 mandatory regression","Kames vareso?","","Romani","Do you want something?","full","FTFL multilingual Rosetta context; Romani linguistic review","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_pozdrav_m_oh_devla_gQ7a","0.2.6 mandatory regression","Oh Devla!","","Romani","Oh God!","full","FTFL multilingual Rosetta context; Romani linguistic review","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_pozdrav_m_so_rodes_0XJK","0.2.6 mandatory regression","So rodes?","","Romani","What are you looking for?","full","FTFL multilingual Rosetta context; existing approved So rodes, goro? family","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_pozdrav_m_taves_bach_CsvT","0.2.6 mandatory regression","T'aves bachtalo!","","Romani","Good luck!","full","FTFL multilingual Rosetta context; Romani greeting formula verified against Ružake gila","0.2.6 mandatory regression","mandatory 0.2.6 regression line"
"gree_pozdrav_n_guten_tag_P7yn","source-driven translation batch 001","Guten Tag!","","German","Good day!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"gree_pozdrav_n_mein_gott__USlZ","source-driven translation batch 001","Was soll das?","","German","What's that supposed to mean?","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"gree_pozdrav_n_servus_mann_9uX4","source-driven translation batch 001","Grüß dich!","","German","Hello!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"gree_pozdrav_z_mazel_tov_ZBBA","source-driven translation batch 001","Mazl tov!","","Yiddish/Hebrew","Congratulations!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"henr_menhart_z_verstehen__edkX","source-driven translation batch 001","Verstanden, Ratsherr. Danke.","","German","Understood, Councillor. Thank you.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"hosp_hospodska_nicht_viel_nJz2","source-driven translation batch 001","Nicht viel.","","German","Not much.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"hosp_hospodska_uf_borech__Rrni","source-driven translation batch 001","Borekh ha-shem!","","Yiddish/Hebrew","Blessed be the Name!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"inga_bohuta_pl_kyrie_elei_M1GZ","source-driven translation batch 001","Kyrie eleison.","","Greek","Lord, have mercy.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"koco_kocovnik__taves_bach_rTUM","0.2.6 mandatory regression","T-aves bakhtalo, Henry! You are the best!","T-aves bakhtalo","Romani","Good luck!","mixed","FTFL multilingual Rosetta context; Romani greeting formula verified against Ružake gila","0.2.6 mandatory regression","mandatory 0.2.6 mixed-language regression line; preserve existing English tail"
"kost_kibic_fac_was_ist_das_wEZV","source-driven translation batch 001","Was ist das?","","German","What is that?","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"lamp_lamprecht_praga_capu_oGKP","source-driven translation batch 001","Praga caput regni!","","Latin","Prague, head of the kingdom!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"lega_jindrich__tvuj_klobo_74Ax","source-driven translation batch 001","Buona sera, signori.","","Italian","Good evening, gentlemen.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"menh_menhart_z_verstehen_FQjz","source-driven translation batch 001","Ich verstehe.","","German","I understand.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"muz__hospodsky_sehr_gut_ZNBj","source-driven translation batch 001","Sehr gut.","","German","Very good.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"muz__muz_prona_warum__SoWG","source-driven translation batch 001","Warum?","","German","Why?","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"npc__npc_vidi__halt_prest_JFuH","source-driven translation batch 001","Was machst du?","","German","What are you doing?","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"pozd_npc_zdrav_gru_gott_9KrT","source-driven translation batch 001","Grüß Gott!","","German","Hello!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"pozd_pozdrav_n_gott_segne_4flq","source-driven translation batch 001","Gott segne dich!","","German","God bless you!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"pozd_uctivy_po_naturlich__42x1","source-driven translation batch 001","Natürlich, kein Problem.","","German","Of course, no problem.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"rozl_rozloucen_tschuss_CM0e","source-driven translation batch 001","Tschüss!","","German","Bye!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"vrac_farar_ant_scientia_e_6hjw","source-driven translation batch 001","Scientia est potentia.","","Latin","Knowledge is power.","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
"vysl_safarik_vade_retro_s_TsU0","source-driven translation batch 001","Vade retro Satana!","","Latin","Get behind me, Satan!","full","FTFL translation batch 001; multilingual Rosetta context; linguistic review","0.2.6 regression candidate","family-first source-driven review; safe exact-family propagation may cover sibling keys"
